Süre (Sn)	Basýnç (Torr)	Basýnç (Torr)	Basýnç (Torr)
---------	K-KBÖ		K-BBÖ		AH-PBÖ
0		0,0E+0		0,0E+0		0,0E+0
5		0,0E+0		0,0E+0		5,0E-6
10		1,0E-8		0,0E+0		2,7E-4
15		7,5E-8		0,0E+0		1,9E-2
20		1,2E-6		0,0E+0		1,8E-1
25		2,2E-6		0,0E+0		1,8E-1
30		3,9E-6		0,0E+0		1,8E-1
35		5,5E-6		0,0E+0		1,8E-1
40		6,4E-6		0,0E+0		1,8E-1
45		7,3E-6		0,0E+0		1,8E-1
50		8,0E-6		0,0E+0		1,8E-1
55		8,9E-6		0,0E+0		1,8E-1
60		9,7E-6		0,0E+0		1,8E-1
65		1,0E-5		0,0E+0		1,8E-1
70		1,1E-5		1,4E-1		1,8E-1
75		1,1E-5		1,4E-1		1,8E-1
80		1,2E-5		1,5E-1		1,8E-1
85		1,3E-5		1,6E-1		1,8E-1
90		1,4E-5		1,6E-1		1,8E-1
95		1,5E-5		1,6E-1		1,8E-1
100		1,6E-5		1,6E-1		1,8E-1
105		1,7E-5		1,6E-1		1,8E-1
110		1,7E-5		1,6E-1		1,8E-1
115		1,8E-5		1,6E-1		1,8E-1
120		1,9E-5		1,6E-1		1,8E-1
125		2,0E-5		1,6E-1		1,8E-1
130		2,1E-5		1,6E-1		1,8E-1
135		2,1E-5		1,6E-1		1,8E-1
140		2,2E-5		1,6E-1		1,8E-1
145		2,3E-5		1,6E-1		1,8E-1
150		2,4E-5		1,6E-1		1,8E-1
155		2,4E-5		1,6E-1		1,8E-1
160		2,5E-5		1,6E-1		1,8E-1
165		2,6E-5		1,6E-1		1,8E-1
170		2,6E-5		1,6E-1		1,8E-1
175		2,7E-5		1,6E-1		1,8E-1
180		2,8E-5		1,6E-1		1,8E-1
185		2,9E-5		1,6E-1		1,8E-1
190		2,9E-5		1,6E-1		1,8E-1
195		3,0E-5		1,6E-1		1,8E-1
200		3,1E-5		1,6E-1		1,8E-1
205		3,2E-5		1,6E-1		1,8E-1
210		3,2E-5		1,6E-1		1,8E-1
215		2,8E-5		1,6E-1		1,8E-1
220		1,3E-5		1,5E-1		1,8E-1
225		4,3E-6		1,4E-1		1,8E-1
230		1,8E-6		1,4E-1		1,8E-1
235		1,4E-6		1,3E-1		1,8E-1
240		1,3E-6		1,2E-1		1,8E-1
245		1,2E-6		1,2E-1		1,8E-1
250		1,2E-6		1,1E-1		1,8E-1
255		1,1E-6		1,0E-1		1,8E-1
260		1,1E-6		9,7E-2		1,8E-1
265		1,1E-6		8,9E-2		1,8E-1
270		1,0E-6		8,3E-2		1,8E-1
275		1,0E-6		7,8E-2		1,8E-1
280		1,0E-6		7,8E-2		1,8E-1
285		1,0E-6		7,8E-2		1,8E-1
290		9,9E-7		7,8E-2		1,8E-1
295		9,8E-7		7,8E-2		1,8E-1
300		9,8E-7		7,8E-2		1,8E-1
305		9,8E-7		7,8E-2		1,8E-1
310		9,8E-7		7,8E-2		1,8E-1
315		9,7E-7		7,8E-2		1,8E-1
320		9,6E-7		7,8E-2		1,8E-1
325		9,6E-7		7,8E-2		1,8E-1
330		9,7E-7		7,8E-2		1,8E-1
335		1,0E-6		7,8E-2		1,8E-1
340		1,2E-6		7,8E-2		1,8E-1
345		1,2E-6		7,8E-2		1,8E-1
350		1,1E-6		7,8E-2		1,8E-1
355		1,1E-6		7,8E-2		1,8E-1
360		1,0E-6		7,8E-2		1,8E-1
365		9,6E-7		7,8E-2		1,8E-1
370		9,4E-7		7,8E-2		1,8E-1
375		9,4E-7		7,8E-2		1,8E-1
