Süre (Sn)	Basýnç (Torr)	Basýnç (Torr)	Basýnç (Torr)
---------	K-KBÖ		K-BBÖ		AH-PBÖ
0		1,9E+2		5,4E-1		7,6E+2
5		1,0E-8		0,0E+0		5,5E-5
10		4,3E-5		0,0E+0		1,2E-1
15		2,2E+0		0,0E+0		1,6E+2
20		5,7E+1		0,0E+0		7,6E+2
25		5,2E+1		0,0E+0		7,6E+2
30		4,8E+1		0,0E+0		7,6E+2
35		4,4E+1		0,0E+0		7,6E+2
40		4,1E+1		0,0E+0		7,6E+2
45		3,8E+1		0,0E+0		7,6E+2
50		3,5E+1		0,0E+0		7,6E+2
55		3,2E+1		0,0E+0		7,6E+2
60		3,0E+1		0,0E+0		7,6E+2
65		2,8E+1		5,4E-1		7,6E+2
70		2,6E+1		5,4E-1		7,6E+2
75		2,5E+1		5,4E-1		7,6E+2
80		2,3E+1		5,4E-1		7,6E+2
85		2,2E+1		5,4E-1		7,6E+2
90		2,1E+1		5,4E-1		7,6E+2
95		1,9E+1		5,4E-1		7,6E+2
100		1,8E+1		5,4E-1		7,6E+2
105		1,7E+1		5,4E-1		7,6E+2
110		1,6E+1		5,4E-1		7,6E+2
115		1,6E+1		5,4E-1		7,6E+2
120		1,5E+1		5,4E-1		7,6E+2
125		1,4E+1		5,4E-1		7,6E+2
130		1,3E+1		6,0E-1		7,6E+2
135		1,2E+1		1,4E+0		7,6E+2
140		1,0E+1		2,5E+0		7,6E+2
145		7,5E+0		3,1E+0		7,6E+2
150		5,3E+0		3,5E+0		7,6E+2
155		3,5E+0		3,8E+0		6,0E+2
160		2,4E+0		4,0E+0		2,0E+2
165		1,6E+0		4,1E+0		4,6E+1
170		1,0E+0		4,2E+0		9,7E+0
175		6,7E-1		4,2E+0		4,5E+0
180		4,4E-1		4,2E+0		2,6E+0
185		2,9E-1		4,2E+0		1,6E+0
190		1,9E-1		3,9E+0		1,1E+0
195		1,3E-1		2,9E+0		7,6E-1
200		9,0E-2		1,9E+0		5,6E-1
205		6,3E-2		1,2E+0		4,4E-1
210		4,7E-2		8,6E-1		3,6E-1
215		3,5E-2		6,1E-1		3,0E-1
220		2,7E-2		4,0E-1		2,7E-1
225		2,1E-2		3,1E-1		2,4E-1
230		1,7E-2		2,2E-1		2,3E-1
235		1,5E-2		1,8E-1		2,2E-1
240		1,3E-2		1,5E-1		2,1E-1
245		1,1E-2		1,4E-1		2,0E-1
250		9,6E-3		1,2E-1		2,0E-1
255		8,8E-3		1,2E-1		1,9E-1
260		8,1E-3		1,1E-1		1,9E-1
265		7,5E-3		1,0E-1		1,9E-1
270		6,9E-3		9,9E-2		1,9E-1
275		6,4E-3		9,1E-2		1,8E-1
280		6,3E-3		8,5E-2		1,8E-1
285		6,9E-3		7,8E-2		1,9E-1
290		8,0E-3		7,8E-2		1,9E-1
295		8,7E-3		7,8E-2		1,9E-1
300		9,1E-3		7,8E-2		2,0E-1
305		9,2E-3		7,8E-2		2,0E-1
310		9,1E-3		7,8E-2		2,0E-1
315		8,9E-3		7,8E-2		2,0E-1
320		8,6E-3		7,8E-2		1,9E-1
325		8,4E-3		7,8E-2		1,9E-1
330		8,2E-3		7,8E-2		1,9E-1
335		8,0E-3		7,8E-2		1,9E-1
340		7,7E-3		7,8E-2		1,9E-1
345		7,3E-3		7,8E-2		1,9E-1
350		7,0E-3		7,8E-2		1,9E-1
355		6,8E-3		7,8E-2		1,8E-1
360		6,5E-3		7,8E-2		1,8E-1
365		6,3E-3		7,8E-2		1,8E-1
370		6,0E-3		7,8E-2		1,8E-1
375		5,8E-3		7,8E-2		1,8E-1
380		5,6E-3		7,8E-2		1,8E-1
385		5,8E-3		7,8E-2		1,8E-1
390		1,2E-2		7,9E-2		2,3E-1
