Süre (Sn)	Basýnç (Torr)
0		7,6E+2
5		1E-8
10		3E-4
15		1,3E+2
20		7,6E+2
25		7,6E+2
30		7,6E+2
35		7,6E+2
40		7,6E+2
45		7,6E+2
50		7,6E+2
55		7,6E+2
60		7,6E+2
65		7,6E+2
70		7,6E+2
75		7,6E+2
80		7,6E+2
85		7,6E+2
90		7,6E+2
95		7,6E+2
100		7,6E+2
105		7,6E+2
110		7,6E+2
115		7,6E+2
120		7,6E+2
125		7,6E+2
130		7,6E+2
135		7,6E+2
140		7,6E+2
145		7,6E+2
150		7,6E+2
155		7,6E+2
160		7,6E+2
165		7,6E+2
170		7,6E+2
175		7,6E+2
180		7,6E+2
185		7,6E+2
190		7,6E+2
195		7,6E+2
200		7,6E+2
205		7,6E+2
210		7,6E+2
215		7,6E+2
220		7,6E+2
225		7,6E+2
230		7,6E+2
235		7,6E+2
240		7,6E+2
245		7,6E+2
250		7,6E+2
255		6E+2
260		4,7E+2
265		3,9E+2
270		3,3E+2
275		2,8E+2
280		2,4E+2
285		2,1E+2
290		1,8E+2
295		1,6E+2
300		1,4E+2
305		1,3E+2
310		1,1E+2
315		1E+2
320		9,2E+1
325		8,3E+1
330		7,5E+1
335		6,8E+1
340		6,3E+1
345		5,7E+1
350		5,2E+1
355		4,8E+1
360		4,4E+1
365		4,1E+1
370		3,8E+1
375		3,5E+1
380		3,3E+1
385		3E+1
390		2,8E+1
395		2,6E+1
400		2,5E+1
405		2,3E+1
410		2,2E+1
415		2E+1
420		1,9E+1
425		1,8E+1
430		1,7E+1
435		1,6E+1
440		1,5E+1
445		1,5E+1
450		1,4E+1
455		1,3E+1
460		1,3E+1
465		1,2E+1
470		1,2E+1
475		1,1E+1
480		1,1E+1
485		1E+1
490		9,8E+0
495		8,8E+0
500		6,9E+0
505		4,9E+0
510		3,3E+0
515		2,2E+0
520		1,5E+0
525		9,7E-1
530		6,2E-1
535		4,1E-1
540		2,6E-1
545		2,1E-1
550		1,7E-1
555		1,4E-1
560		1,1E-1
565		9,9E-2
570		9,6E-2
575		9,7E-2
580		9,7E-2
585		9,8E-2
590		9,8E-2
595		9,8E-2
600		9,9E-2
605		9,9E-2
610		9,9E-2
615		9,9E-2
620		1E-1
625		1E-1
630		1E-1
635		1E-1
640		1E-1
645		1E-1
650		1E-1
655		1E-1
660		1E-1
665		1E-1
670		1E-1
675		1E-1
680		1E-1
685		1E-1
690		9,3E-2
695		7,6E-2
700		5,6E-2
705		4E-2
710		2,9E-2
715		2,3E-2
720		1,8E-2
725		1,4E-2
730		1,2E-2
735		9,8E-3
740		8,6E-3
745		7,6E-3
750		6,7E-3
755		6E-3
760		5,6E-3
765		5,5E-3
770		6E-3
775		6,4E-3
780		6,5E-3
785		6,1E-3
790		5,5E-3
795		5E-3
800		4,5E-3
805		3E-3
810		1,9E-3
815		1,3E-3
820		1,2E-3
825		1E-3
830		9,3E-4
835		8,5E-4
840		7,8E-4
845		7,3E-4
850		7,4E-4
855		8,8E-4
860		1E-3
865		1,1E-3
870		9,7E-4
875		8,7E-4
880		8E-4
885		7,4E-4
890		7,2E-4
895		7E-4
900		6,8E-4
905		6,5E-4
910		6,2E-4
915		5,9E-4
920		5,6E-4
925		5,3E-4
930		5E-4
935		4,8E-4
940		4,6E-4
945		4,4E-4
950		4,2E-4
955		4,1E-4
960		3,9E-4
965		3,8E-4
970		3,7E-4
975		3,6E-4
980		3,7E-4
985		3,8E-4
990		3,9E-4
995		4,1E-4
1000		4,2E-4
1005		4,4E-4
1010		4,6E-4
1015		4,7E-4
1020		4,9E-4
1025		5,1E-4
1030		5,2E-4
1035		5,4E-4
1040		5,5E-4
1045		5,7E-4
1050		5,8E-4
1055		6E-4
1060		6,1E-4
1065		6,3E-4
1070		6,4E-4
1075		6,6E-4
1080		6,7E-4
1085		6,9E-4
1090		7E-4
1095		7,1E-4
1100		7,3E-4
1105		7,4E-4
1110		7,5E-4
1115		7,7E-4
1120		7,8E-4
1125		8E-4
1130		8,2E-4
1135		8,4E-4
1140		8,6E-4
1145		8,9E-4
1150		9E-4
1155		9,2E-4
1160		9,4E-4
1165		9,6E-4
1170		9,8E-4
1175		1E-3
1180		1E-3
1185		1E-3
1190		1,1E-3
1195		1,1E-3
1200		1,1E-3
1205		1,1E-3
1210		1,1E-3
1215		1,2E-3
1220		1,2E-3
1225		1,2E-3
1230		1,2E-3
1235		1,2E-3
1240		1,3E-3
1245		1,3E-3
1250		1,3E-3
1255		1,3E-3
1260		1,3E-3
1265		1,4E-3
1270		1,4E-3
1275		1,4E-3
1280		1,4E-3
1285		1,4E-3
1290		1,4E-3
1295		1,4E-3
1300		1,5E-3
1305		1,5E-3
1310		1,5E-3
1315		1,5E-3
1320		1,6E-3
1325		1,6E-3
1330		1,6E-3
1335		1,6E-3
1340		1,7E-3
1345		1,7E-3
1350		1,7E-3
1355		1,7E-3
1360		1,7E-3
1365		1,8E-3
1370		1,8E-3
1375		1,8E-3
1380		1,9E-3
1385		1,9E-3
1390		1,9E-3
1395		1,9E-3
1400		1,9E-3
1405		2E-3
1410		2E-3
1415		2E-3
1420		2E-3
1425		2E-3
1430		2E-3
1435		2E-3
1440		2,1E-3
1445		2,1E-3
1450		2,1E-3
1455		2,2E-3
1460		2,2E-3
1465		2,3E-3
1470		2,3E-3
1475		2,3E-3
1480		2,4E-3
1485		2,4E-3
1490		2,4E-3
1495		2,4E-3
1500		2,4E-3
1505		2,5E-3
1510		2,5E-3
1515		2,5E-3
1520		2,5E-3
1525		2,6E-3
1530		2,7E-3
1535		3,2E-3
1540		3,8E-3
1545		4,5E-3
1550		4,5E-3
1555		4,5E-3
1560		4,5E-3
1565		4,5E-3
1570		4,6E-3
1575		4,6E-3
1580		4,6E-3
1585		4,6E-3
1590		4,6E-3
1595		4,7E-3
1600		4,7E-3
1605		4,7E-3
1610		4,7E-3
1615		4,7E-3
1620		4,7E-3
1625		4,7E-3
1630		4,8E-3
1635		4,8E-3
1640		4,8E-3
1645		4,8E-3
1650		4,8E-3
1655		4,8E-3
1660		4,9E-3
1665		4,9E-3
1670		4,9E-3
1675		4,9E-3
1680		4,9E-3
1685		4,9E-3
1690		4,9E-3
1695		4,9E-3
1700		5E-3
1705		5E-3
1710		5E-3
1715		5E-3
1720		5E-3
1725		5E-3
1730		5,1E-3
1735		5,1E-3
1740		5,1E-3
1745		5,1E-3
1750		5,1E-3
1755		5,1E-3
1760		5,1E-3
1765		5,1E-3
1770		5,2E-3
1775		5,2E-3
1780		5,2E-3
1785		5,2E-3
1790		5,2E-3
1795		5,2E-3
1800		5,3E-3
1805		5,3E-3
1810		5,3E-3
1815		5,3E-3
1820		5,3E-3
