Süre (Sn)	Basýnç (Torr)
0		5,5E+0
5		5,5E+0
10		1,4E-7
15		3,1E-3
20		5,5E+0
25		5,5E+0
30		5,5E+0
35		5,5E+0
40		5,5E+0
45		5,5E+0
50		5,5E+0
55		5,5E+0
60		5,5E+0
65		5,5E+0
70		5,5E+0
75		5,5E+0
80		5,5E+0
85		5,5E+0
90		5,5E+0
95		5,5E+0
100		5,5E+0
105		5,5E+0
110		5,5E+0
115		5,5E+0
120		5,5E+0
125		5,5E+0
130		5,5E+0
135		5,5E+0
140		5,5E+0
145		5,5E+0
150		5,5E+0
155		5,5E+0
160		5,5E+0
165		5,5E+0
170		5,5E+0
175		5,5E+0
180		5,5E+0
185		5,5E+0
190		5,5E+0
195		5,5E+0
200		5,5E+0
205		5,5E+0
210		5,5E+0
215		5,5E+0
220		5,5E+0
225		5,5E+0
230		5,5E+0
235		5,5E+0
240		5,5E+0
245		5,5E+0
250		5,5E+0
255		5,5E+0
260		5,5E+0
265		5,5E+0
270		5,5E+0
275		5,5E+0
280		5,5E+0
285		5,5E+0
290		5,5E+0
295		5,5E+0
300		5,5E+0
305		5,5E+0
310		5,5E+0
315		5,5E+0
320		5,5E+0
325		5,6E+0
330		5,5E+0
335		5,5E+0
340		5,5E+0
345		5,5E+0
350		5,5E+0
355		5,6E+0
360		5,6E+0
365		5,5E+0
370		5,5E+0
375		5,5E+0
380		5,5E+0
385		5,5E+0
390		5,5E+0
395		5,5E+0
400		5,5E+0
405		5,5E+0
410		5,5E+0
415		5,5E+0
420		5,5E+0
425		5,5E+0
430		5,5E+0
435		5,5E+0
440		5,6E+0
445		5,5E+0
450		5,5E+0
455		5,5E+0
460		5,5E+0
465		5,6E+0
470		5,5E+0
475		5,5E+0
480		5,5E+0
485		5,5E+0
490		5,5E+0
495		5,5E+0
500		5,5E+0
505		5,5E+0
510		5,5E+0
515		5,5E+0
520		5,5E+0
525		5,5E+0
530		5,5E+0
535		5,5E+0
540		5,5E+0
545		5,6E+0
550		5,6E+0
555		5,6E+0
560		5,5E+0
565		5,5E+0
570		5,5E+0
575		5,5E+0
580		5,5E+0
585		5,5E+0
590		5,5E+0
595		5,5E+0
600		5,5E+0
605		5,5E+0
610		5,5E+0
615		5,5E+0
620		5,5E+0
625		5,5E+0
630		5,5E+0
635		5,6E+0
640		5,6E+0
645		5,6E+0
650		5,5E+0
655		5,5E+0
660		5,5E+0
665		5,5E+0
670		5,5E+0
675		5,5E+0
680		5,5E+0
685		5,5E+0
690		5,5E+0
695		5,5E+0
700		5,5E+0
705		5,6E+0
710		5,6E+0
715		5,6E+0
720		5,5E+0
725		5,6E+0
730		5,5E+0
735		5,5E+0
740		5,5E+0
745		5,5E+0
750		5,6E+0
755		5,6E+0
760		5,5E+0
765		5,5E+0
770		5,5E+0
775		5,5E+0
780		5,5E+0
785		5,6E+0
790		5,6E+0
795		5,5E+0
800		5,6E+0
805		5,6E+0
810		5,5E+0
815		5,5E+0
820		5,5E+0
825		5,5E+0
830		5,6E+0
835		5,6E+0
840		5,5E+0
845		5,6E+0
850		5,6E+0
855		5,6E+0
860		5,6E+0
865		5,5E+0
870		5,5E+0
875		5,6E+0
880		5,6E+0
885		5,6E+0
890		5,5E+0
895		5,5E+0
900		5,6E+0
905		5,6E+0
910		5,6E+0
915		5,6E+0
920		5,6E+0
925		5,6E+0
930		5,6E+0
935		5,6E+0
940		5,5E+0
945		5,5E+0
950		5,5E+0
955		5,6E+0
960		5,6E+0
965		5,6E+0
970		5,6E+0
975		5,6E+0
980		5,6E+0
985		5,5E+0
990		5,6E+0
995		5,6E+0
1000		5,6E+0
1005		5,6E+0
1010		5,6E+0
1015		5,6E+0
1020		5,6E+0
1025		5,6E+0
1030		5,6E+0
1035		5,6E+0
1040		5,6E+0
1045		5,6E+0
1050		5,6E+0
1055		5,6E+0
1060		5,6E+0
1065		5,6E+0
1070		5,6E+0
1075		5,6E+0
1080		5,6E+0
1085		5,6E+0
1090		5,6E+0
1095		5,6E+0
1100		5,6E+0
1105		5,6E+0
1110		5,6E+0
1115		5,6E+0
1120		5,6E+0
1125		5,6E+0
1130		5,6E+0
1135		5,6E+0
1140		5,6E+0
1145		5,6E+0
1150		5,6E+0
1155		5,6E+0
1160		5,6E+0
1165		5,6E+0
1170		5,6E+0
1175		5,6E+0
1180		5,6E+0
1185		5,6E+0
1190		5,6E+0
1195		5,6E+0
1200		5,6E+0
1205		5,6E+0
1210		5,7E+0
1215		5,7E+0
1220		5,7E+0
1225		5,7E+0
1230		5,7E+0
1235		5,7E+0
1240		5,7E+0
1245		5,7E+0
1250		5,7E+0
1255		5,7E+0
1260		5,7E+0
1265		5,7E+0
1270		5,7E+0
1275		5,7E+0
1280		5,7E+0
1285		5,7E+0
1290		5,7E+0
1295		5,7E+0
1300		5,7E+0
1305		5,7E+0
1310		5,7E+0
1315		5,7E+0
1320		5,7E+0
1325		5,7E+0
1330		5,7E+0
1335		5,7E+0
1340		5,7E+0
1345		5,7E+0
1350		5,7E+0
1355		5,7E+0
1360		5,7E+0
1365		5,7E+0
1370		5,7E+0
1375		5,7E+0
1380		5,7E+0
1385		5,7E+0
1390		5,7E+0
1395		5,7E+0
1400		5,7E+0
1405		5,8E+0
1410		5,8E+0
1415		5,7E+0
1420		5,7E+0
1425		5,8E+0
1430		5,8E+0
1435		5,8E+0
1440		5,8E+0
1445		5,8E+0
1450		5,8E+0
1455		5,8E+0
1460		5,8E+0
1465		5,8E+0
1470		5,8E+0
1475		5,8E+0
1480		5,8E+0
1485		5,8E+0
1490		5,8E+0
1495		5,8E+0
1500		5,8E+0
1505		5,8E+0
1510		5,8E+0
1515		5,8E+0
1520		5,8E+0
1525		5,8E+0
1530		5,8E+0
1535		5,9E+0
1540		5,9E+0
1545		5,9E+0
1550		5,9E+0
1555		5,9E+0
1560		5,9E+0
1565		5,9E+0
1570		5,9E+0
1575		6E+0
1580		5,9E+0
1585		5,9E+0
1590		6E+0
1595		6E+0
1600		5,9E+0
1605		5,9E+0
1610		6E+0
1615		6E+0
1620		6E+0
1625		6E+0
1630		6E+0
1635		6E+0
1640		6E+0
1645		6E+0
1650		6E+0
1655		6E+0
1660		6E+0
1665		6E+0
1670		6E+0
1675		6E+0
1680		6E+0
1685		6E+0
1690		6E+0
1695		6,1E+0
1700		6,1E+0
1705		6,1E+0
1710		6,1E+0
1715		6,1E+0
1720		6,1E+0
1725		6,2E+0
1730		6,2E+0
1735		6,2E+0
1740		6,2E+0
1745		6,2E+0
1750		6,2E+0
1755		6,2E+0
1760		6,2E+0
1765		6,2E+0
1770		6,2E+0
1775		6,2E+0
1780		6,3E+0
1785		6,3E+0
1790		6,4E+0
1795		6,4E+0
1800		6,4E+0
1805		6,4E+0
1810		6,4E+0
1815		6,4E+0
1820		6,4E+0
1825		6,5E+0
1830		6,5E+0
1835		6,5E+0
1840		6,5E+0
1845		6,5E+0
1850		6,6E+0
1855		6,6E+0
1860		6,6E+0
1865		6,7E+0
1870		6,7E+0
1875		6,7E+0
1880		6,7E+0
1885		6,7E+0
1890		6,7E+0
1895		6,7E+0
1900		6,8E+0
1905		6,8E+0
1910		6,9E+0
1915		6,9E+0
1920		6,9E+0
1925		6,9E+0
1930		6,9E+0
1935		6,9E+0
1940		7E+0
1945		7E+0
1950		7E+0
1955		7E+0
1960		7E+0
1965		7E+0
1970		7,1E+0
1975		7,1E+0
1980		7,2E+0
1985		7,2E+0
1990		7,2E+0
1995		7,2E+0
2000		7,2E+0
2005		7,3E+0
2010		7,3E+0
2015		7,3E+0
2020		7,3E+0
2025		7,3E+0
2030		7,4E+0
2035		7,4E+0
2040		7,5E+0
2045		7,5E+0
2050		7,5E+0
2055		7,5E+0
2060		7,5E+0
2065		7,5E+0
2070		7,5E+0
2075		7,5E+0
2080		7,5E+0
2085		7,6E+0
2090		7,6E+0
2095		7,6E+0
2100		7,7E+0
2105		7,7E+0
2110		7,8E+0
2115		7,8E+0
2120		7,8E+0
2125		7,8E+0
2130		7,8E+0
2135		7,8E+0
2140		7,8E+0
2145		7,8E+0
2150		7,9E+0
2155		7,9E+0
2160		8E+0
2165		8E+0
2170		8,1E+0
2175		8,1E+0
2180		8,1E+0
2185		8,2E+0
2190		8,3E+0
2195		8,4E+0
2200		8,4E+0
2205		8,4E+0
2210		8,5E+0
2215		8,6E+0
2220		8,7E+0
2225		8,7E+0
2230		8,8E+0
2235		8,8E+0
2240		8,8E+0
2245		9E+0
2250		9E+0
2255		9,1E+0
2260		9,1E+0
2265		9,1E+0
2270		9,2E+0
2275		9,3E+0
2280		9,4E+0
2285		9,5E+0
2290		9,5E+0
2295		9,5E+0
2300		9,5E+0
2305		9,5E+0
2310		9,5E+0
2315		9,5E+0
2320		9,5E+0
2325		9,6E+0
2330		9,6E+0
2335		9,6E+0
2340		9,7E+0
2345		9,7E+0
2350		9,7E+0
2355		9,7E+0
2360		9,7E+0
2365		9,7E+0
2370		9,8E+0
2375		9,8E+0
2380		9,7E+0
2385		9,7E+0
2390		9,6E+0
2395		9,6E+0
2400		9,7E+0
2405		9,7E+0
2410		9,6E+0
2415		9,6E+0
2420		9,6E+0
