Süre (Sn)	Basýnç (Torr)
0		7,6E+2
5		7,6E+2
10		3,1E-5
15		6E+0
20		7,6E+2
25		7,6E+2
30		7,6E+2
35		7,6E+2
40		7,6E+2
45		7,6E+2
50		7,6E+2
55		7,6E+2
60		7,6E+2
65		7,6E+2
70		7,6E+2
75		7,6E+2
80		7,6E+2
85		7,6E+2
90		7,6E+2
95		7,6E+2
100		7,6E+2
105		7,6E+2
110		7,6E+2
115		7,6E+2
120		7,6E+2
125		7,6E+2
130		7,6E+2
135		7,6E+2
140		7,6E+2
145		7,6E+2
150		7,6E+2
155		7,6E+2
160		7,6E+2
165		7,6E+2
170		7,6E+2
175		7,6E+2
180		7,6E+2
185		7,6E+2
190		7,6E+2
195		7,6E+2
200		7,6E+2
205		7,6E+2
210		7,6E+2
215		7,6E+2
220		7,6E+2
225		7,3E+2
230		5,8E+2
235		4,7E+2
240		3,9E+2
245		3,3E+2
250		2,8E+2
255		2,5E+2
260		2,2E+2
265		1,9E+2
270		1,7E+2
275		1,5E+2
280		1,3E+2
285		1,2E+2
290		1,1E+2
295		9,9E+1
300		9E+1
305		8,2E+1
310		7,5E+1
315		6,8E+1
320		6,3E+1
325		5,7E+1
330		5,3E+1
335		4,9E+1
340		4,5E+1
345		4,2E+1
350		3,9E+1
355		3,6E+1
360		3,4E+1
365		3,1E+1
370		2,9E+1
375		2,8E+1
380		2,6E+1
385		2,4E+1
390		2,3E+1
395		2,2E+1
400		2E+1
405		1,9E+1
410		1,8E+1
415		1,7E+1
420		1,6E+1
425		1,6E+1
430		1,5E+1
435		1,4E+1
440		1,4E+1
445		1,3E+1
450		1,2E+1
455		1,2E+1
460		1,1E+1
465		1,1E+1
470		1,1E+1
475		1E+1
480		9,9E+0
485		9,1E+0
490		7,3E+0
495		5,3E+0
500		3,6E+0
505		2,4E+0
510		1,6E+0
515		1,1E+0
520		7E-1
525		4,6E-1
530		3E-1
535		1,9E-1
540		1,3E-1
545		9,1E-2
550		6,8E-2
555		5,7E-2
560		5,4E-2
565		5,3E-2
570		5,4E-2
575		5,4E-2
580		5,5E-2
585		5,5E-2
590		5,5E-2
595		5,5E-2
600		5,6E-2
605		5,6E-2
610		5,7E-2
615		5,7E-2
620		5,7E-2
625		5,7E-2
630		5,7E-2
635		5,8E-2
640		5,8E-2
645		5,8E-2
650		5,8E-2
655		5,8E-2
660		5,8E-2
665		5,9E-2
670		5,9E-2
675		5,9E-2
680		5,9E-2
685		5,9E-2
690		5,9E-2
695		6E-2
700		6E-2
705		6E-2
710		6E-2
715		6E-2
720		6E-2
725		6E-2
730		6E-2
735		6E-2
740		6,1E-2
745		6,1E-2
750		6,1E-2
755		6,1E-2
760		6,1E-2
765		6,1E-2
770		6,2E-2
775		6,2E-2
780		6,2E-2
785		6,2E-2
790		6,2E-2
795		6,2E-2
800		6,2E-2
805		6,2E-2
810		6,2E-2
815		6,2E-2
820		6,2E-2
825		6,2E-2
830		6,2E-2
835		6,2E-2
840		6,2E-2
845		6,2E-2
850		6,2E-2
855		6,2E-2
860		6,3E-2
865		6,3E-2
870		6,3E-2
875		6,3E-2
880		6,3E-2
885		6,3E-2
890		6,3E-2
895		6,3E-2
900		6,4E-2
905		6,4E-2
910		6,4E-2
915		6,4E-2
920		6,4E-2
925		6,4E-2
930		6,4E-2
935		6,4E-2
940		6,4E-2
945		6,4E-2
950		6,4E-2
955		6,4E-2
960		6,4E-2
965		6,4E-2
970		6,4E-2
975		6,4E-2
980		6,4E-2
985		6,4E-2
990		6,4E-2
995		6,4E-2
1000		6,4E-2
1005		6,4E-2
1010		6,4E-2
1015		6,4E-2
1020		6,4E-2
1025		6,4E-2
1030		6,4E-2
1035		6,5E-2
1040		6,4E-2
1045		6,5E-2
1050		6,5E-2
1055		6,5E-2
1060		6,5E-2
1065		6,5E-2
1070		6,5E-2
1075		6,4E-2
1080		6,5E-2
1085		6,5E-2
1090		6,5E-2
1095		6,5E-2
1100		6,5E-2
1105		6,5E-2
1110		6,5E-2
1115		6,5E-2
1120		6,6E-2
1125		6,6E-2
1130		6,5E-2
1135		6,5E-2
1140		6,6E-2
1145		6,6E-2
1150		6,6E-2
1155		6,6E-2
1160		6,6E-2
1165		6,6E-2
1170		6,6E-2
1175		6,6E-2
1180		6,6E-2
1185		6,6E-2
1190		6,6E-2
1195		6,7E-2
1200		6,7E-2
1205		6,6E-2
1210		6,6E-2
1215		6,7E-2
1220		6,6E-2
1225		6,6E-2
1230		6,6E-2
1235		6,7E-2
1240		6,7E-2
1245		6,7E-2
1250		6,7E-2
1255		6,7E-2
1260		6,7E-2
1265		6,7E-2
1270		6,7E-2
1275		6,7E-2
1280		6,7E-2
1285		6,7E-2
1290		6,7E-2
1295		6,7E-2
1300		6,7E-2
1305		6,7E-2
1310		6,7E-2
1315		6,7E-2
1320		6,7E-2
1325		6,7E-2
1330		6,7E-2
1335		6,7E-2
1340		6,7E-2
1345		6,7E-2
1350		6,7E-2
1355		6,7E-2
1360		6,7E-2
1365		6,7E-2
1370		6,7E-2
1375		6,7E-2
1380		6,7E-2
1385		6,7E-2
1390		6,7E-2
1395		6,7E-2
1400		6,8E-2
1405		6,8E-2
1410		6,8E-2
1415		6,8E-2
1420		6,7E-2
1425		6,7E-2
1430		6,7E-2
1435		6,8E-2
1440		6,8E-2
1445		6,8E-2
1450		6,8E-2
1455		6,8E-2
1460		6,8E-2
1465		6,8E-2
1470		6,8E-2
1475		6,8E-2
1480		6,8E-2
1485		6,8E-2
1490		6,8E-2
1495		6,8E-2
1500		6,8E-2
1505		6,8E-2
1510		6,8E-2
1515		6,8E-2
1520		6,8E-2
1525		6,8E-2
1530		6,9E-2
1535		6,9E-2
1540		6,9E-2
1545		6,9E-2
1550		6,9E-2
1555		6,9E-2
1560		6,9E-2
1565		6,9E-2
1570		6,9E-2
1575		6,9E-2
1580		6,9E-2
1585		6,9E-2
1590		6,9E-2
1595		6,9E-2
1600		6,9E-2
1605		6,9E-2
1610		6,9E-2
1615		6,9E-2
1620		6,9E-2
1625		6,9E-2
1630		6,9E-2
1635		6,9E-2
1640		6,9E-2
1645		7E-2
1650		7E-2
1655		6,9E-2
1660		6,9E-2
1665		6,9E-2
1670		6,9E-2
1675		7E-2
1680		6,9E-2
1685		6,9E-2
1690		6,9E-2
1695		6,9E-2
1700		6,9E-2
1705		6,9E-2
1710		6,9E-2
1715		7E-2
1720		7E-2
1725		7E-2
1730		6,8E-2
1735		6,1E-2
1740		4,9E-2
1745		3,7E-2
1750		2,6E-2
1755		1,7E-2
1760		9,4E-3
1765		2,6E-3
1770		6,3E-4
1775		1,9E-4
1780		1,2E-4
1785		9,7E-5
1790		8,2E-5
1795		7,2E-5
1800		6,8E-5
1805		6,4E-5
1810		6E-5
1815		5,6E-5
1820		5,3E-5
1825		5,1E-5
1830		5E-5
1835		4,8E-5
1840		4,7E-5
1845		4,6E-5
1850		4,4E-5
1855		4,2E-5
1860		4,1E-5
1865		4E-5
1870		4,1E-5
1875		4,1E-5
1880		4,1E-5
1885		3,9E-5
1890		3,7E-5
1895		3,6E-5
1900		3,7E-5
1905		3,9E-5
1910		4E-5
1915		3,9E-5
1920		3,5E-5
1925		3,4E-5
1930		3,4E-5
1935		3,3E-5
1940		3,3E-5
1945		3,3E-5
1950		3,3E-5
1955		3,4E-5
1960		3,5E-5
1965		3,5E-5
1970		3,4E-5
1975		3E-5
1980		2,9E-5
1985		2,8E-5
1990		2,7E-5
1995		2,7E-5
2000		2,5E-5
2005		2,3E-5
2010		2,1E-5
2015		2,1E-5
2020		2E-5
2025		1,9E-5
2030		1,7E-5
2035		1,7E-5
2040		1,7E-5
2045		1,6E-5
2050		1,5E-5
2055		1,4E-5
2060		1,4E-5
2065		1,5E-5
2070		1,4E-5
2075		1,4E-5
2080		1,3E-5
2085		1,2E-5
2090		1,2E-5
2095		1,1E-5
2100		1,1E-5
2105		1,1E-5
2110		1,1E-5
2115		1,1E-5
2120		1,1E-5
2125		1E-5
2130		1,1E-5
2135		1,1E-5
2140		1,1E-5
2145		1E-5
2150		9,5E-6
2155		8,9E-6
2160		9E-6
2165		1E-5
2170		1,1E-5
2175		1,1E-5
2180		1,1E-5
2185		1,2E-5
2190		1,1E-5
2195		1,1E-5
2200		1,1E-5
2205		1E-5
2210		1E-5
2215		9E-6
