Ýþlem Akýþý -  vaksis-Administrator  / 15:33:24
6.03.2017 / 15:33:25  -Kelebek vana kapatýldý.
6.03.2017 / 16:05:49  -Ana vana ara pozisyona alýndý.
6.03.2017 / 16:05:51  -Ana vana kapatýldý.
6.03.2017 / 16:05:54  -Ana vana ara pozisyona alýndý.
6.03.2017 / 16:05:56  -Ana vana kapatýldý.
6.03.2017 / 16:06:19  -Ana vana ara pozisyona alýndý.
6.03.2017 / 16:06:22  -Ana vana kapatýldý.
6.03.2017 / 16:06:31  -Ana vana ara pozisyona alýndý.
6.03.2017 / 16:06:33  -Ana vana kapatýldý.
6.03.2017 / 16:06:36  -Ana vana ara pozisyona alýndý.
6.03.2017 / 16:06:44  -Ana vana kapatýldý.
6.03.2017 / 16:06:51  -Ana vana ara pozisyona alýndý.
6.03.2017 / 16:07:06  -Ana vana kapatýldý.
6.03.2017 / 16:07:06  -AH-ATM açýldý.
6.03.2017 / 16:09:03  -Ýzolasyon Kapaðý kapatýldý.
