Süre (Sn)	Basýnç (Torr)
0		1E-5
5		1E-5
10		1E-8
15		2,5E-6
20		2,1E-5
25		2,2E-5
30		2,3E-5
35		2,4E-5
40		2,5E-5
45		2,6E-5
50		2,6E-5
55		2,7E-5
60		2,8E-5
65		2,9E-5
70		3E-5
75		3E-5
80		3,1E-5
85		3,2E-5
90		3,3E-5
95		3,4E-5
100		3,5E-5
105		3,6E-5
110		3,6E-5
115		3,7E-5
120		3,8E-5
125		3,9E-5
130		4E-5
135		4,1E-5
140		4,1E-5
145		4,2E-5
150		4,3E-5
155		4,4E-5
160		4,5E-5
165		4,6E-5
170		4,6E-5
175		4,7E-5
180		4,8E-5
185		4,9E-5
190		4,9E-5
195		5E-5
200		5E-5
205		5,1E-5
210		5,1E-5
215		5,2E-5
220		5,3E-5
225		5,4E-5
230		5,4E-5
235		5,5E-5
240		5,5E-5
245		5,6E-5
250		5,7E-5
255		5,7E-5
260		5,8E-5
265		5,9E-5
270		5,9E-5
275		6E-5
280		6E-5
285		6,1E-5
290		6,2E-5
295		6,2E-5
300		6,3E-5
305		6,4E-5
310		6,4E-5
315		6,5E-5
320		6,5E-5
325		6,6E-5
330		6,6E-5
335		6,7E-5
340		6,8E-5
345		6,9E-5
350		6,9E-5
355		6,9E-5
360		7E-5
365		7E-5
370		7,1E-5
375		7,2E-5
380		7,2E-5
385		7,3E-5
390		7,3E-5
395		7,3E-5
400		6,9E-5
405		6,6E-5
410		6,6E-5
415		6,6E-5
420		6,7E-5
425		6,7E-5
430		6,7E-5
435		6,8E-5
440		6,9E-5
445		7E-5
450		7E-5
455		7,1E-5
460		7,1E-5
465		7,2E-5
470		7,2E-5
475		7,3E-5
480		7,3E-5
485		7,4E-5
490		7,5E-5
495		7,6E-5
500		7,9E-5
505		8,1E-5
510		8,3E-5
515		8,4E-5
520		8,4E-5
525		8,5E-5
530		8,7E-5
535		8,7E-5
540		8,8E-5
545		8,9E-5
550		9E-5
555		9,1E-5
560		9,1E-5
565		9,3E-5
570		9,4E-5
575		9,5E-5
580		9,5E-5
585		9,6E-5
590		9,7E-5
595		9,8E-5
600		9,8E-5
605		9,9E-5
610		1E-4
615		1E-4
620		1E-4
625		1E-4
630		1E-4
635		1,1E-4
640		1,1E-4
645		1,1E-4
650		1,1E-4
655		1,1E-4
660		1,1E-4
665		1,1E-4
670		1,1E-4
675		1,1E-4
680		1,1E-4
685		1,1E-4
690		1,1E-4
695		1,1E-4
700		1,2E-4
705		1,2E-4
710		1,2E-4
715		1,2E-4
720		1,2E-4
725		1,2E-4
730		1,2E-4
735		1,2E-4
740		1,2E-4
745		1,2E-4
750		1,2E-4
755		1,2E-4
760		1,3E-4
765		1,3E-4
770		1,3E-4
775		1,3E-4
780		1,3E-4
785		1,3E-4
790		1,3E-4
795		1,3E-4
800		1,3E-4
805		1,3E-4
810		1,3E-4
815		1,3E-4
820		1,3E-4
825		1,4E-4
830		1,4E-4
835		1,4E-4
840		1,4E-4
845		1,4E-4
850		1,4E-4
855		1,4E-4
860		1,4E-4
865		1,4E-4
870		1,4E-4
875		1,4E-4
880		1,4E-4
885		1,4E-4
890		1,4E-4
895		1,5E-4
900		1,5E-4
905		1,5E-4
910		1,5E-4
915		1,5E-4
920		1,5E-4
925		1,5E-4
930		1,5E-4
935		1,5E-4
940		1,5E-4
945		1,5E-4
950		1,6E-4
955		1,6E-4
960		1,6E-4
965		1,6E-4
970		1,6E-4
975		1,6E-4
980		1,6E-4
985		1,6E-4
990		1,6E-4
995		1,6E-4
1000		1,6E-4
1005		1,6E-4
1010		1,7E-4
1015		1,7E-4
1020		1,7E-4
1025		1,7E-4
1030		1,7E-4
1035		1,7E-4
1040		1,7E-4
1045		1,7E-4
1050		1,7E-4
1055		1,7E-4
1060		1,7E-4
1065		1,7E-4
1070		1,7E-4
1075		1,7E-4
1080		1,8E-4
1085		1,8E-4
1090		1,8E-4
1095		1,8E-4
1100		1,8E-4
1105		1,8E-4
1110		1,8E-4
1115		1,8E-4
1120		1,8E-4
1125		1,8E-4
1130		1,8E-4
1135		1,9E-4
1140		1,9E-4
1145		1,9E-4
1150		1,9E-4
1155		1,9E-4
1160		1,9E-4
1165		1,9E-4
1170		1,9E-4
1175		1,9E-4
1180		1,9E-4
1185		1,9E-4
1190		1,9E-4
1195		2E-4
1200		2E-4
1205		2E-4
1210		2E-4
1215		2E-4
1220		2E-4
1225		2E-4
1230		2E-4
1235		2E-4
1240		2E-4
1245		2E-4
1250		2,1E-4
1255		2,1E-4
1260		2,1E-4
1265		2,1E-4
1270		2,1E-4
1275		2,1E-4
1280		2,1E-4
1285		2,1E-4
1290		2,1E-4
1295		2,1E-4
1300		2,2E-4
1305		2,2E-4
1310		2,2E-4
1315		2,2E-4
1320		2,2E-4
1325		2,2E-4
1330		2,2E-4
1335		2,2E-4
1340		2,2E-4
1345		2,2E-4
1350		2,3E-4
1355		2,3E-4
1360		2,3E-4
1365		2,3E-4
1370		2,3E-4
1375		2,3E-4
1380		2,3E-4
1385		2,3E-4
1390		2,3E-4
1395		2,3E-4
1400		2,3E-4
1405		2,4E-4
1410		2,4E-4
1415		2,4E-4
1420		2,4E-4
1425		2,4E-4
1430		2,4E-4
1435		2,4E-4
1440		2,4E-4
1445		2,4E-4
1450		2,5E-4
1455		2,5E-4
1460		2,5E-4
1465		2,5E-4
1470		2,5E-4
1475		2,5E-4
1480		2,5E-4
1485		2,5E-4
1490		2,5E-4
1495		2,5E-4
1500		2,5E-4
1505		2,5E-4
1510		2,5E-4
1515		2,6E-4
