Ýþlem Akýþý -  vaksis-Administrator  / 08:09:39
8.02.2017 / 08:09:40  -Kelebek vana kapatýldý.
8.02.2017 / 08:10:03  -Ortak gaz vanasý açýldý.
8.02.2017 / 08:10:09  -Hidrojen gaz vanasý açýldý.
8.02.2017 / 08:10:22  -Hidrojenn gaz akýþ kontrolcüsü aktif hale getirildi.
8.02.2017 / 08:11:15  -Hidrojen gaz akýþ kontrolcüsü deaktif hale getirildi.
8.02.2017 / 08:11:21  -Azot gaz vanasý açýldý.
8.02.2017 / 08:11:24  -Azot gaz akýþ kontrolcüsü aktif hale getirildi.
8.02.2017 / 08:11:41  -Azot (Purge) gaz vanasý açýldý.
8.02.2017 / 08:11:44  -Azot gaz akýþ kontrolcüsü deaktif hale getirildi.
8.02.2017 / 08:12:18  -Azot gaz akýþ kontrolcüsü aktif hale getirildi.
8.02.2017 / 08:12:26  -Azot gaz akýþ kontrolcüsü deaktif hale getirildi.
