Süre (Sn)	Basýnç (Torr)	Basýnç (Torr)	Basýnç (Torr)
---------	K-KBÖ		K-BBÖ		AH-PBÖ
0		5,1E-7		1,6E-1		1,8E-1
5		5,1E-7		1,6E-1		3,9E-6
10		1,0E-8		0,0E+0		2,7E-4
15		3,6E-8		0,0E+0		1,4E-2
20		5,1E-7		0,0E+0		1,7E-1
25		5,1E-7		0,0E+0		1,7E-1
30		5,0E-7		0,0E+0		1,7E-1
35		5,0E-7		0,0E+0		1,7E-1
40		5,1E-7		0,0E+0		1,7E-1
45		5,2E-7		0,0E+0		1,8E-1
50		5,1E-7		0,0E+0		1,7E-1
55		5,1E-7		0,0E+0		1,8E-1
60		5,0E-7		0,0E+0		1,7E-1
65		5,0E-7		1,6E-1		1,7E-1
70		5,1E-7		1,6E-1		1,7E-1
75		5,1E-7		1,6E-1		1,7E-1
80		5,1E-7		1,6E-1		1,7E-1
85		5,1E-7		1,6E-1		1,8E-1
90		5,1E-7		1,6E-1		1,8E-1
95		5,1E-7		1,6E-1		1,7E-1
100		5,1E-7		1,6E-1		1,8E-1
105		5,1E-7		1,6E-1		1,8E-1
110		5,0E-7		1,6E-1		1,8E-1
115		5,0E-7		1,6E-1		1,8E-1
120		5,1E-7		1,6E-1		1,8E-1
125		5,1E-7		1,6E-1		1,8E-1
130		5,1E-7		1,6E-1		1,8E-1
135		5,1E-7		1,6E-1		1,8E-1
140		5,1E-7		1,6E-1		1,8E-1
145		5,1E-7		1,6E-1		1,8E-1
150		5,1E-7		1,6E-1		1,8E-1
155		5,1E-7		1,6E-1		1,8E-1
160		5,0E-7		1,6E-1		1,8E-1
165		5,1E-7		1,6E-1		1,8E-1
170		5,1E-7		1,6E-1		1,8E-1
175		5,1E-7		1,6E-1		1,8E-1
180		5,1E-7		1,6E-1		1,8E-1
185		5,2E-7		1,6E-1		1,8E-1
190		5,2E-7		1,6E-1		1,8E-1
195		5,2E-7		1,6E-1		1,8E-1
200		5,2E-7		1,5E-1		1,8E-1
205		5,3E-7		1,4E-1		1,8E-1
210		5,5E-7		1,4E-1		1,8E-1
215		5,5E-7		1,3E-1		1,8E-1
220		5,5E-7		1,2E-1		1,8E-1
225		5,5E-7		1,2E-1		1,8E-1
230		5,5E-7		1,1E-1		1,8E-1
235		5,9E-7		1,0E-1		1,8E-1
240		7,0E-7		9,7E-2		1,8E-1
245		7,4E-7		8,9E-2		1,8E-1
250		7,2E-7		8,3E-2		1,8E-1
255		6,6E-7		7,8E-2		1,8E-1
260		6,5E-7		7,8E-2		1,8E-1
265		6,5E-7		7,8E-2		1,8E-1
270		6,6E-7		7,8E-2		1,8E-1
275		6,7E-7		7,8E-2		1,8E-1
280		6,8E-7		7,8E-2		1,8E-1
285		6,8E-7		7,8E-2		1,8E-1
290		6,8E-7		7,8E-2		1,8E-1
295		6,9E-7		7,8E-2		1,8E-1
300		7,0E-7		7,8E-2		1,8E-1
305		7,0E-7		7,8E-2		1,8E-1
310		7,1E-7		7,8E-2		1,8E-1
315		7,2E-7		7,8E-2		1,8E-1
320		7,1E-7		7,8E-2		1,8E-1
325		7,0E-7		7,8E-2		1,8E-1
330		6,8E-7		7,8E-2		1,8E-1
335		6,8E-7		7,8E-2		1,8E-1
340		6,7E-7		7,8E-2		1,8E-1
345		6,7E-7		7,8E-2		1,8E-1
350		6,6E-7		7,8E-2		1,8E-1
355		6,7E-7		7,8E-2		1,8E-1
