Süre (Sn)	Basýnç (Torr)	Basýnç (Torr)	Basýnç (Torr)
---------	K-KBÖ		K-BBÖ		AH-PBÖ
0		0,0E+0		0,0E+0		0,0E+0
5		0,0E+0		0,0E+0		8,3E-6
10		1,0E-8		0,0E+0		5,8E-4
15		1,2E-7		0,0E+0		3,2E-2
20		1,1E-6		0,0E+0		1,8E-1
25		2,0E-6		0,0E+0		1,8E-1
30		3,4E-6		0,0E+0		1,8E-1
35		4,8E-6		0,0E+0		1,8E-1
40		5,4E-6		0,0E+0		1,8E-1
45		6,1E-6		0,0E+0		1,8E-1
50		6,6E-6		0,0E+0		1,8E-1
55		7,2E-6		0,0E+0		1,8E-1
60		7,8E-6		0,0E+0		1,8E-1
65		8,5E-6		0,0E+0		1,8E-1
70		9,1E-6		7,8E-2		1,8E-1
75		9,6E-6		7,8E-2		1,8E-1
80		1,0E-5		7,8E-2		1,8E-1
85		1,1E-5		7,8E-2		1,8E-1
90		1,1E-5		7,8E-2		1,8E-1
95		9,4E-6		7,8E-2		1,8E-1
100		4,4E-6		7,8E-2		1,8E-1
105		1,8E-6		7,8E-2		1,8E-1
110		1,0E-6		7,8E-2		1,8E-1
115		9,1E-7		7,8E-2		1,8E-1
120		8,8E-7		7,8E-2		1,8E-1
125		8,7E-7		7,8E-2		1,8E-1
130		8,6E-7		7,8E-2		1,8E-1
135		8,5E-7		7,8E-2		1,8E-1
140		8,4E-7		7,8E-2		1,8E-1
145		8,3E-7		7,8E-2		1,8E-1
150		8,3E-7		7,8E-2		1,8E-1
155		8,2E-7		7,8E-2		1,8E-1
160		8,2E-7		7,8E-2		1,8E-1
165		8,1E-7		7,8E-2		1,8E-1
