Ýþlem Akýþý -  vaksis-Administrator  / 10:15:18
19.01.2017 / 10:15:20  -Kelebek vana kapatýldý.
19.01.2017 / 10:15:39  -BBÖ-BV açýldý.
19.01.2017 / 10:15:43  -BBÖ-BV kapatýldý.
19.01.2017 / 10:16:05  -BBÖ-BV açýldý.
                                                      
19.01.2017 / 10:16:22  -Sistemi "Durdurma" Ýþlemi Baþlatýldý.
19.01.2017 / 10:16:25  -Isýtýcý sýfýra set edildi.
19.01.2017 / 10:16:32  -BBÖ-BV kapatýldý.
19.01.2017 / 10:16:39  -DP'nin soðumasý bekleniyor.
19.01.2017 / 10:16:46  -Kazanýn atmosfer basýncýna gelmesi bekleniyor
19.01.2017 / 10:16:49  -Alt Hat atmosfer basýncýna ulaþtý.
19.01.2017 / 10:16:53  -Durdurma iþlemi tamamlandý
                                                      
19.01.2017 / 10:16:57  -Kazan atmosfer basýncýna ulaþtý. Alttaþ yükleme / alýnma iþlemi yapýlabilir
