Süre (Sn)	Basýnç (Torr)	Basýnç (Torr)	Basýnç (Torr)
		K-KBÖ		K-BBÖ		AH-PBÖ
680		4,1E-2		5,5E+2		7,6E+2
685		4,0E-2		5,5E+2		7,6E+2
690		4,0E-2		5,5E+2		7,6E+2
695		4,0E-2		5,5E+2		7,6E+2
700		4,0E-2		5,5E+2		7,6E+2
705		4,0E-2		5,5E+2		7,6E+2
710		4,1E-2		5,5E+2		7,6E+2
715		4,1E-2		5,5E+2		7,6E+2
720		4,1E-2		5,5E+2		7,6E+2
725		4,1E-2		5,5E+2		7,6E+2
730		4,0E-2		5,5E+2		7,6E+2
735		4,1E-2		5,5E+2		7,6E+2
740		4,1E-2		5,5E+2		7,6E+2
745		4,0E-2		5,5E+2		7,6E+2
750		4,0E-2		5,5E+2		7,6E+2
755		4,0E-2		5,5E+2		7,6E+2
760		4,0E-2		5,5E+2		7,6E+2
765		4,0E-2		5,5E+2		7,6E+2
770		4,0E-2		5,5E+2		7,6E+2
775		4,0E-2		5,5E+2		7,6E+2
780		4,0E-2		5,5E+2		7,6E+2
785		4,0E-2		5,5E+2		7,6E+2
790		4,0E-2		5,5E+2		7,6E+2
795		4,0E-2		5,5E+2		7,6E+2
800		4,0E-2		5,5E+2		7,6E+2
805		4,0E-2		5,5E+2		7,6E+2
810		4,1E-2		5,5E+2		7,6E+2
815		4,0E-2		5,5E+2		7,6E+2
820		4,0E-2		5,5E+2		7,6E+2
825		4,0E-2		5,5E+2		7,6E+2
830		4,0E-2		5,5E+2		7,6E+2
835		4,0E-2		5,5E+2		7,6E+2
840		4,1E-2		5,5E+2		7,6E+2
845		4,1E-2		5,5E+2		7,6E+2
850		4,0E-2		5,5E+2		7,6E+2
855		4,0E-2		5,5E+2		7,6E+2
860		4,0E-2		5,5E+2		7,6E+2
865		4,0E-2		5,5E+2		7,6E+2
870		4,0E-2		5,5E+2		7,6E+2
875		4,0E-2		5,5E+2		7,6E+2
880		4,1E-2		5,5E+2		7,6E+2
885		4,1E-2		5,5E+2		7,6E+2
890		4,1E-2		5,5E+2		7,6E+2
895		4,1E-2		5,5E+2		7,6E+2
900		4,1E-2		5,5E+2		7,6E+2
905		4,1E-2		5,5E+2		7,6E+2
910		4,1E-2		5,5E+2		7,6E+2
915		4,1E-2		5,5E+2		7,6E+2
920		4,1E-2		5,5E+2		7,6E+2
925		4,1E-2		5,5E+2		7,6E+2
930		4,1E-2		5,5E+2		7,6E+2
935		4,1E-2		5,5E+2		7,6E+2
940		4,1E-2		5,5E+2		7,6E+2
945		4,0E-2		5,5E+2		7,6E+2
950		4,0E-2		5,5E+2		7,6E+2
955		4,0E-2		5,5E+2		7,6E+2
960		4,1E-2		5,5E+2		7,6E+2
965		4,1E-2		5,5E+2		7,6E+2
970		4,1E-2		5,5E+2		7,6E+2
975		4,1E-2		5,5E+2		7,6E+2
980		4,1E-2		5,5E+2		7,6E+2
985		4,1E-2		5,5E+2		7,6E+2
990		4,1E-2		5,5E+2		7,6E+2
995		4,1E-2		5,5E+2		7,6E+2
1000		4,1E-2		5,5E+2		7,6E+2
1005		4,1E-2		5,5E+2		7,6E+2
1010		4,1E-2		5,5E+2		7,6E+2
1015		4,1E-2		5,5E+2		7,6E+2
1020		4,1E-2		5,5E+2		7,6E+2
1025		4,1E-2		5,5E+2		7,6E+2
1030		4,1E-2		5,5E+2		6,9E+2
1035		4,1E-2		5,5E+2		3,1E+2
1040		4,1E-2		5,5E+2		8,9E+1
1045		4,1E-2		5,5E+2		2,3E+1
1050		4,1E-2		5,5E+2		1,2E+1
1055		4,1E-2		5,5E+2		5,9E+0
1060		4,1E-2		5,5E+2		1,4E+0
1065		4,1E-2		5,5E+2		3,6E-1
1070		4,1E-2		5,5E+2		2,0E-1
1075		4,1E-2		5,5E+2		2,1E-1
1080		4,1E-2		5,5E+2		2,0E-1
1085		4,1E-2		5,5E+2		1,9E-1
1090		4,1E-2		5,5E+2		1,9E-1
1095		4,1E-2		5,5E+2		1,8E-1
1100		4,1E-2		5,5E+2		1,8E-1
1105		4,1E-2		5,5E+2		1,8E-1
1110		4,1E-2		5,5E+2		1,8E-1
1115		4,1E-2		5,5E+2		1,8E-1
1120		4,1E-2		5,5E+2		1,8E-1
1125		4,1E-2		5,5E+2		1,8E-1
1130		4,1E-2		5,5E+2		1,8E-1
1135		4,1E-2		5,5E+2		1,8E-1
1140		4,1E-2		5,5E+2		1,8E-1
1145		4,1E-2		5,5E+2		1,8E-1
1150		4,1E-2		5,5E+2		1,8E-1
1155		4,1E-2		5,5E+2		1,8E-1
1160		4,1E-2		5,5E+2		1,8E-1
1165		4,1E-2		5,5E+2		1,8E-1
1170		4,1E-2		5,5E+2		1,8E-1
1175		4,1E-2		5,5E+2		1,8E-1
1180		4,1E-2		5,5E+2		1,8E-1
1185		4,1E-2		5,5E+2		1,8E-1
1190		4,1E-2		5,5E+2		1,8E-1
1195		4,1E-2		5,5E+2		1,8E-1
1200		4,1E-2		5,5E+2		1,8E-1
1205		4,1E-2		5,5E+2		1,8E-1
1210		4,1E-2		5,5E+2		1,8E-1
1215		4,1E-2		5,5E+2		1,8E-1
1220		4,1E-2		5,5E+2		1,8E-1
1225		4,1E-2		5,5E+2		1,8E-1
1230		4,1E-2		5,5E+2		1,8E-1
1235		4,1E-2		5,5E+2		1,8E-1
1240		4,1E-2		5,5E+2		1,8E-1
1245		4,1E-2		5,5E+2		1,8E-1
1250		4,1E-2		5,5E+2		1,8E-1
1255		4,1E-2		5,5E+2		1,8E-1
1260		4,1E-2		5,5E+2		1,8E-1
1265		4,1E-2		5,5E+2		1,8E-1
1270		4,1E-2		5,5E+2		1,8E-1
1275		4,1E-2		5,5E+2		1,8E-1
1280		4,1E-2		5,5E+2		1,7E-1
1285		4,1E-2		5,5E+2		1,8E-1
1290		4,1E-2		5,5E+2		1,8E-1
1295		4,1E-2		5,5E+2		1,8E-1
1300		4,1E-2		5,5E+2		1,8E-1
1305		4,1E-2		5,5E+2		1,8E-1
1310		4,1E-2		5,5E+2		1,8E-1
1315		4,1E-2		5,5E+2		1,8E-1
1320		4,1E-2		5,5E+2		1,8E-1
1325		4,1E-2		5,5E+2		1,8E-1
1330		4,1E-2		5,5E+2		1,8E-1
1335		4,1E-2		5,5E+2		1,8E-1
1340		4,1E-2		5,5E+2		1,7E-1
1345		4,1E-2		5,5E+2		1,7E-1
1350		4,1E-2		5,5E+2		1,8E-1
1355		4,1E-2		5,5E+2		1,8E-1
1360		4,1E-2		5,5E+2		1,8E-1
1365		4,1E-2		5,5E+2		1,7E-1
1370		4,1E-2		5,5E+2		1,7E-1
1375		4,1E-2		5,5E+2		1,7E-1
1380		4,1E-2		5,5E+2		1,7E-1
1385		4,1E-2		5,5E+2		1,8E-1
1390		4,1E-2		5,5E+2		1,8E-1
1395		4,1E-2		5,5E+2		1,7E-1
1400		4,1E-2		5,5E+2		1,7E-1
1405		4,1E-2		5,5E+2		1,7E-1
1410		4,1E-2		5,5E+2		1,7E-1
1415		4,1E-2		5,5E+2		1,8E-1
