Süre (Sn)	Basýnç (Torr)	Basýnç (Torr)	Basýnç (Torr)
---------	K-KBÖ		K-BBÖ		AH-PBÖ
0		0,0E+0		0,0E+0		0,0E+0
5		0,0E+0		0,0E+0		1,4E-5
10		3,1E-5		0,0E+0		3,0E-2
15		6,0E+0		4,3E+1		4,1E+1
20		7,6E+2		8,8E+1		7,6E+2
25		7,6E+2		1,5E+2		7,6E+2
30		7,6E+2		1,9E+2		7,6E+2
35		7,6E+2		2,5E+2		7,6E+2
40		7,6E+2		3,0E+2		7,6E+2
45		7,6E+2		3,4E+2		7,6E+2
50		7,6E+2		4,0E+2		7,6E+2
55		7,6E+2		4,5E+2		7,6E+2
60		7,6E+2		5,1E+2		7,6E+2
65		7,6E+2		5,2E+2		7,6E+2
70		7,6E+2		5,2E+2		7,6E+2
75		7,6E+2		5,2E+2		7,6E+2
80		7,6E+2		5,2E+2		7,6E+2
85		7,6E+2		5,2E+2		7,6E+2
90		7,6E+2		5,2E+2		7,6E+2
95		7,6E+2		5,2E+2		7,6E+2
100		7,6E+2		5,2E+2		7,6E+2
105		7,6E+2		5,2E+2		7,6E+2
110		7,6E+2		5,2E+2		7,6E+2
115		7,6E+2		5,2E+2		7,6E+2
120		7,6E+2		5,2E+2		7,6E+2
125		7,6E+2		5,2E+2		7,6E+2
130		7,6E+2		5,2E+2		7,6E+2
135		7,6E+2		5,2E+2		7,6E+2
140		7,6E+2		5,2E+2		7,6E+2
145		7,6E+2		5,2E+2		7,6E+2
150		7,6E+2		5,2E+2		7,6E+2
155		7,6E+2		5,2E+2		7,6E+2
160		7,6E+2		5,2E+2		7,6E+2
165		7,6E+2		5,2E+2		7,6E+2
170		7,6E+2		5,2E+2		7,6E+2
175		7,6E+2		5,2E+2		7,6E+2
180		7,6E+2		5,2E+2		7,6E+2
185		7,6E+2		5,2E+2		7,6E+2
190		7,6E+2		5,2E+2		7,6E+2
195		7,6E+2		5,2E+2		7,6E+2
200		7,6E+2		5,2E+2		7,6E+2
205		7,6E+2		5,2E+2		7,6E+2
210		7,6E+2		5,2E+2		7,6E+2
215		7,6E+2		5,2E+2		7,6E+2
220		7,6E+2		5,2E+2		7,6E+2
225		7,6E+2		5,2E+2		7,6E+2
230		7,6E+2		5,2E+2		7,6E+2
235		7,6E+2		5,2E+2		7,6E+2
240		7,6E+2		5,2E+2		7,6E+2
245		7,6E+2		5,2E+2		7,6E+2
250		7,6E+2		5,2E+2		7,6E+2
255		7,6E+2		5,2E+2		7,6E+2
260		7,6E+2		5,2E+2		7,6E+2
265		7,6E+2		5,2E+2		7,6E+2
270		7,6E+2		5,2E+2		7,6E+2
275		7,6E+2		5,2E+2		7,6E+2
280		7,6E+2		5,2E+2		7,6E+2
285		7,6E+2		5,2E+2		7,6E+2
290		7,6E+2		5,2E+2		7,6E+2
295		7,6E+2		5,2E+2		7,6E+2
300		7,6E+2		5,2E+2		7,6E+2
305		7,6E+2		5,2E+2		7,6E+2
310		7,6E+2		5,2E+2		7,6E+2
315		7,6E+2		5,2E+2		7,6E+2
320		7,6E+2		5,2E+2		7,6E+2
325		7,6E+2		5,2E+2		7,6E+2
330		7,6E+2		5,2E+2		7,6E+2
335		7,6E+2		5,2E+2		7,6E+2
340		7,6E+2		5,2E+2		7,6E+2
345		7,6E+2		5,2E+2		7,6E+2
350		7,6E+2		5,2E+2		7,6E+2
355		7,6E+2		5,2E+2		7,5E+2
360		7,6E+2		5,2E+2		7,6E+2
365		7,6E+2		5,2E+2		7,6E+2
370		7,6E+2		5,2E+2		6,8E+2
375		7,6E+2		5,2E+2		6,0E+2
380		7,6E+2		5,2E+2		7,6E+2
385		7,6E+2		5,2E+2		7,6E+2
390		7,6E+2		5,2E+2		7,6E+2
395		7,6E+2		5,2E+2		7,6E+2
400		7,6E+2		5,2E+2		7,6E+2
405		7,6E+2		5,2E+2		7,6E+2
410		7,6E+2		5,2E+2		7,6E+2
415		7,6E+2		5,2E+2		7,6E+2
420		7,6E+2		5,2E+2		7,6E+2
425		7,6E+2		5,2E+2		7,6E+2
430		7,6E+2		5,2E+2		7,6E+2
435		7,6E+2		5,2E+2		7,6E+2
440		7,6E+2		5,2E+2		7,6E+2
445		7,6E+2		5,2E+2		7,6E+2
450		7,6E+2		5,2E+2		7,6E+2
455		7,6E+2		5,2E+2		7,6E+2
460		7,6E+2		5,2E+2		7,6E+2
465		7,6E+2		5,2E+2		7,6E+2
470		7,6E+2		5,2E+2		7,6E+2
475		7,6E+2		5,2E+2		2,6E+2
480		7,6E+2		5,2E+2		6,7E+1
485		7,6E+2		5,2E+2		4,0E+1
490		7,6E+2		5,2E+2		2,5E+1
495		7,6E+2		5,2E+2		3,8E+0
500		7,6E+2		5,2E+2		4,6E-1
505		7,6E+2		5,2E+2		1,9E-1
510		7,6E+2		5,2E+2		1,8E-1
515		7,6E+2		5,2E+2		1,8E-1
520		7,6E+2		5,2E+2		1,8E-1
525		7,6E+2		5,2E+2		1,8E-1
530		7,6E+2		5,2E+2		1,8E-1
535		7,6E+2		5,2E+2		1,8E-1
540		7,6E+2		5,2E+2		1,8E-1
545		7,6E+2		5,2E+2		1,8E-1
550		7,6E+2		5,2E+2		1,8E-1
555		7,6E+2		5,2E+2		1,8E-1
560		7,6E+2		5,2E+2		1,8E-1
565		7,6E+2		5,2E+2		1,8E-1
570		7,6E+2		5,2E+2		1,8E-1
575		7,6E+2		5,2E+2		1,7E-1
580		7,6E+2		5,2E+2		1,7E-1
585		7,6E+2		5,2E+2		1,7E-1
590		7,6E+2		5,2E+2		1,7E-1
595		7,6E+2		5,2E+2		1,7E-1
600		7,6E+2		5,2E+2		1,7E-1
605		7,6E+2		5,2E+2		1,7E-1
610		7,6E+2		5,2E+2		1,7E-1
615		7,6E+2		5,2E+2		1,7E-1
620		7,6E+2		5,2E+2		1,7E-1
625		7,6E+2		5,2E+2		1,7E-1
630		7,6E+2		5,2E+2		1,7E-1
635		7,6E+2		5,2E+2		1,7E-1
640		7,6E+2		5,2E+2		1,7E-1
645		7,6E+2		5,2E+2		1,7E-1
650		7,6E+2		5,2E+2		1,7E-1
655		7,6E+2		5,2E+2		1,7E-1
660		7,6E+2		5,2E+2		1,7E-1
665		7,6E+2		5,2E+2		1,7E-1
670		7,6E+2		5,2E+2		9,8E-1
675		7,6E+2		5,2E+2		2,5E+1
680		7,6E+2		5,2E+2		7,5E+2
685		7,6E+2		5,2E+2		7,6E+2
690		7,6E+2		5,2E+2		7,6E+2
695		7,6E+2		5,2E+2		7,6E+2
700		7,6E+2		5,2E+2		7,6E+2
705		7,6E+2		5,2E+2		7,6E+2
710		7,6E+2		5,2E+2		7,6E+2
715		7,6E+2		5,2E+2		7,6E+2
720		7,6E+2		5,2E+2		7,6E+2
725		7,6E+2		5,2E+2		7,6E+2
730		7,6E+2		5,2E+2		7,6E+2
735		7,6E+2		5,2E+2		7,6E+2
740		7,6E+2		5,2E+2		7,6E+2
745		7,6E+2		5,2E+2		7,6E+2
750		7,6E+2		5,2E+2		7,6E+2
755		7,6E+2		5,2E+2		7,6E+2
760		7,6E+2		5,2E+2		7,6E+2
765		7,6E+2		5,2E+2		7,6E+2
770		7,6E+2		5,2E+2		7,6E+2
775		7,6E+2		5,2E+2		7,6E+2
780		7,6E+2		5,2E+2		7,6E+2
785		7,6E+2		5,2E+2		7,6E+2
790		7,6E+2		5,2E+2		7,6E+2
795		7,6E+2		5,2E+2		7,6E+2
800		7,6E+2		5,2E+2		7,6E+2
805		7,6E+2		5,2E+2		7,6E+2
810		7,6E+2		5,2E+2		7,6E+2
815		7,6E+2		5,2E+2		7,6E+2
820		7,6E+2		5,2E+2		7,6E+2
825		7,6E+2		5,2E+2		7,6E+2
830		7,6E+2		5,2E+2		7,6E+2
835		7,6E+2		5,2E+2		7,6E+2
840		7,6E+2		5,2E+2		7,6E+2
845		7,6E+2		5,2E+2		7,6E+2
850		7,6E+2		5,2E+2		7,6E+2
855		7,6E+2		5,2E+2		7,6E+2
860		7,6E+2		5,2E+2		7,6E+2
865		7,6E+2		5,2E+2		7,6E+2
870		7,6E+2		5,2E+2		7,6E+2
875		7,6E+2		5,2E+2		7,6E+2
880		7,6E+2		5,2E+2		7,6E+2
885		7,6E+2		5,2E+2		7,6E+2
890		7,6E+2		5,2E+2		7,6E+2
895		7,6E+2		5,2E+2		7,6E+2
900		6,9E+2		5,2E+2		7,6E+2
905		5,3E+2		5,2E+2		7,6E+2
910		4,3E+2		5,2E+2		7,6E+2
915		3,5E+2		5,2E+2		7,6E+2
920		3,0E+2		5,2E+2		7,6E+2
925		2,5E+2		5,2E+2		7,6E+2
930		2,2E+2		5,2E+2		7,6E+2
935		1,9E+2		5,2E+2		7,6E+2
940		1,7E+2		5,2E+2		7,6E+2
945		1,5E+2		5,2E+2		7,6E+2
950		1,3E+2		5,2E+2		7,6E+2
955		1,2E+2		5,2E+2		7,6E+2
960		1,0E+2		5,2E+2		7,6E+2
965		9,3E+1		5,2E+2		7,6E+2
970		8,4E+1		5,2E+2		7,6E+2
975		7,6E+1		5,2E+2		7,6E+2
980		6,9E+1		5,2E+2		7,6E+2
985		6,2E+1		5,2E+2		7,6E+2
990		5,7E+1		5,2E+2		7,6E+2
995		5,2E+1		5,2E+2		7,6E+2
1000		4,8E+1		5,2E+2		7,6E+2
1005		4,4E+1		5,2E+2		7,6E+2
1010		4,0E+1		5,2E+2		7,6E+2
1015		3,7E+1		5,2E+2		7,6E+2
1020		3,4E+1		5,2E+2		7,6E+2
1025		3,2E+1		5,2E+2		7,6E+2
1030		3,0E+1		5,2E+2		7,6E+2
1035		2,8E+1		5,2E+2		7,6E+2
1040		2,6E+1		5,2E+2		7,6E+2
1045		2,4E+1		5,2E+2		7,6E+2
1050		2,2E+1		5,2E+2		7,6E+2
1055		2,1E+1		5,2E+2		7,6E+2
1060		1,9E+1		5,2E+2		7,6E+2
1065		1,8E+1		5,2E+2		7,6E+2
1070		1,7E+1		5,2E+2		7,6E+2
1075		1,6E+1		5,2E+2		7,6E+2
1080		1,5E+1		5,2E+2		7,6E+2
1085		1,4E+1		5,2E+2		7,6E+2
1090		1,4E+1		5,2E+2		7,6E+2
1095		1,3E+1		5,2E+2		7,6E+2
1100		1,2E+1		5,2E+2		7,6E+2
1105		1,1E+1		5,2E+2		7,6E+2
1110		1,1E+1		5,2E+2		7,6E+2
1115		1,0E+1		5,2E+2		7,6E+2
1120		1,0E+1		5,2E+2		7,6E+2
1125		9,4E+0		5,2E+2		7,6E+2
1130		7,8E+0		5,2E+2		7,6E+2
1135		5,7E+0		5,2E+2		7,6E+2
1140		4,0E+0		5,2E+2		6,3E+2
1145		2,7E+0		5,2E+2		2,8E+2
1150		1,8E+0		5,2E+2		6,7E+1
1155		1,2E+0		5,2E+2		1,4E+1
1160		8,0E-1		5,2E+2		5,8E+0
