Süre (Sn)	Basýnç (Torr)	Basýnç (Torr)	Basýnç (Torr)
---------	K-KBÖ		K-BBÖ		AH-PBÖ
0		7,6E+2		0,0E+0		5,7E+2
5		7,6E+2		0,0E+0		8,6E-6
10		1,4E-5		0,0E+0		1,3E-2
15		2,8E+0		0,0E+0		1,2E+1
20		7,6E+2		0,0E+0		5,8E+2
25		7,6E+2		0,0E+0		5,8E+2
30		7,6E+2		0,0E+0		5,8E+2
35		7,6E+2		0,0E+0		5,8E+2
40		7,6E+2		0,0E+0		5,8E+2
45		7,6E+2		0,0E+0		5,8E+2
50		7,6E+2		0,0E+0		5,8E+2
55		7,6E+2		0,0E+0		5,8E+2
60		7,6E+2		0,0E+0		5,8E+2
65		7,6E+2		0,0E+0		5,8E+2
70		7,6E+2		3,9E-1		5,8E+2
75		7,6E+2		3,9E-1		5,8E+2
80		7,6E+2		3,9E-1		5,8E+2
85		7,6E+2		3,9E-1		5,8E+2
90		7,6E+2		3,9E-1		5,8E+2
95		7,6E+2		3,9E-1		5,8E+2
100		7,6E+2		3,9E-1		5,8E+2
105		7,6E+2		3,9E-1		5,8E+2
110		7,6E+2		3,9E-1		5,8E+2
115		7,6E+2		3,9E-1		5,8E+2
120		7,6E+2		3,9E-1		5,8E+2
125		7,6E+2		3,9E-1		5,8E+2
130		7,6E+2		3,9E-1		5,8E+2
135		7,6E+2		3,9E-1		5,8E+2
140		7,6E+2		3,9E-1		5,8E+2
145		7,6E+2		3,9E-1		5,8E+2
150		7,6E+2		3,9E-1		5,8E+2
155		7,6E+2		3,9E-1		5,8E+2
160		7,6E+2		3,9E-1		5,8E+2
165		7,6E+2		3,9E-1		5,8E+2
170		7,6E+2		3,9E-1		5,8E+2
175		7,5E+2		3,9E-1		5,8E+2
180		5,9E+2		3,9E-1		5,8E+2
185		4,7E+2		3,9E-1		5,8E+2
190		3,9E+2		3,9E-1		5,8E+2
195		3,3E+2		3,9E-1		5,8E+2
200		2,8E+2		3,9E-1		5,8E+2
205		2,4E+2		3,9E-1		5,8E+2
210		2,1E+2		3,9E-1		5,8E+2
215		1,8E+2		3,9E-1		5,8E+2
220		1,6E+2		3,9E-1		5,8E+2
225		1,4E+2		3,9E-1		5,8E+2
230		1,3E+2		3,9E-1		5,8E+2
235		1,1E+2		3,9E-1		5,8E+2
240		1,0E+2		3,9E-1		5,8E+2
245		9,1E+1		3,9E-1		5,8E+2
250		8,2E+1		3,8E-1		5,8E+2
255		7,5E+1		3,8E-1		5,8E+2
260		6,8E+1		3,7E-1		5,8E+2
265		6,2E+1		3,6E-1		5,8E+2
270		5,7E+1		3,6E-1		5,8E+2
275		5,2E+1		3,5E-1		5,8E+2
280		4,7E+1		3,4E-1		5,8E+2
285		4,4E+1		3,4E-1		5,8E+2
290		4,0E+1		3,4E-1		5,8E+2
295		3,7E+1		3,4E-1		5,8E+2
300		3,5E+1		3,4E-1		5,8E+2
305		3,2E+1		3,4E-1		5,8E+2
310		3,0E+1		3,5E-1		5,8E+2
315		2,8E+1		3,5E-1		5,8E+2
320		2,6E+1		3,6E-1		5,8E+2
325		2,4E+1		3,7E-1		5,8E+2
330		2,3E+1		3,7E-1		5,8E+2
335		2,1E+1		3,8E-1		5,8E+2
340		2,0E+1		3,9E-1		5,8E+2
345		1,9E+1		3,9E-1		5,8E+2
350		1,8E+1		3,9E-1		5,8E+2
355		1,7E+1		3,9E-1		5,8E+2
360		1,6E+1		3,9E-1		5,8E+2
365		1,5E+1		3,9E-1		5,8E+2
370		1,4E+1		3,9E-1		5,8E+2
375		1,4E+1		3,9E-1		5,8E+2
380		1,3E+1		3,9E-1		5,8E+2
385		1,3E+1		3,9E-1		5,8E+2
390		1,2E+1		3,9E-1		5,8E+2
395		1,1E+1		3,9E-1		5,8E+2
400		1,1E+1		3,9E-1		5,8E+2
405		1,1E+1		3,9E-1		5,8E+2
410		1,0E+1		3,9E-1		5,8E+2
415		9,7E+0		3,9E-1		5,8E+2
420		8,5E+0		3,9E-1		4,0E+2
425		6,5E+0		3,9E-1		1,5E+2
430		4,5E+0		3,9E-1		4,0E+1
435		3,1E+0		3,9E-1		1,8E+1
440		2,0E+0		3,9E-1		1,0E+1
445		1,3E+0		3,9E-1		6,1E+0
450		8,9E-1		3,9E-1		3,9E+0
455		5,8E-1		3,9E-1		2,5E+0
460		3,8E-1		3,9E-1		1,7E+0
465		2,6E-1		3,8E-1		1,2E+0
470		1,7E-1		3,7E-1		8,3E-1
475		1,2E-1		3,5E-1		6,0E-1
480		8,9E-2		3,3E-1		4,3E-1
485		7,3E-2		3,1E-1		2,8E-1
490		6,7E-2		2,9E-1		2,0E-1
495		6,7E-2		2,7E-1		1,9E-1
500		6,8E-2		2,5E-1		2,2E-1
505		6,9E-2		2,3E-1		2,4E-1
510		7,0E-2		2,1E-1		2,0E-1
515		7,0E-2		1,9E-1		1,8E-1
520		7,1E-2		1,7E-1		1,8E-1
525		7,2E-2		1,6E-1		1,7E-1
530		7,2E-2		1,6E-1		1,7E-1
535		7,3E-2		1,6E-1		1,7E-1
540		7,3E-2		1,6E-1		1,7E-1
545		7,4E-2		1,6E-1		1,7E-1
550		7,5E-2		1,6E-1		1,7E-1
555		7,5E-2		1,6E-1		1,7E-1
560		7,5E-2		1,6E-1		1,7E-1
565		7,6E-2		1,6E-1		1,7E-1
570		7,6E-2		1,6E-1		1,7E-1
575		7,7E-2		1,6E-1		1,7E-1
580		7,7E-2		1,6E-1		1,7E-1
585		7,8E-2		1,6E-1		1,7E-1
590		7,8E-2		1,6E-1		1,6E-1
595		7,8E-2		1,6E-1		1,6E-1
600		7,8E-2		1,6E-1		1,6E-1
605		7,9E-2		1,6E-1		1,7E-1
610		7,9E-2		1,6E-1		1,7E-1
615		8,0E-2		1,6E-1		1,7E-1
620		8,0E-2		1,6E-1		1,7E-1
625		8,0E-2		1,6E-1		1,7E-1
630		8,1E-2		1,6E-1		1,6E-1
635		8,1E-2		1,6E-1		1,6E-1
