Süre (Sn)	Basýnç (Torr)	Basýnç (Torr)	Basýnç (Torr)
---------	K-KBÖ		K-BBÖ		AH-PBÖ
0		7,9E+0		1,9E+2		8,8E+0
5		1,0E-8		0,0E+0		1,5E-4
10		3,2E-4		0,0E+0		3,1E-2
15		2,9E+0		0,0E+0		3,3E+0
20		2,8E+0		8,4E+0		3,2E+0
25		2,8E+0		3,5E+1		3,2E+0
30		2,7E+0		5,5E+1		3,1E+0
35		2,5E+0		7,4E+1		2,9E+0
40		2,0E+0		8,5E+1		2,3E+0
45		1,4E+0		9,1E+1		1,5E+0
50		8,7E-1		9,9E+1		9,6E-1
55		5,4E-1		1,1E+2		5,9E-1
60		3,5E-1		1,1E+2		3,8E-1
65		2,2E-1		9,2E+1		2,4E-1
70		1,4E-1		7,4E+1		1,5E-1
75		9,7E-2		6,0E+1		1,0E-1
80		6,5E-2		4,6E+1		6,6E-2
85		4,5E-2		2,7E+1		4,5E-2
90		3,3E-2		1,3E+1		3,1E-2
95		2,4E-2		1,3E+0		2,2E-2
100		1,9E-2		4,4E-1		1,6E-2
105		1,5E-2		3,1E-1		1,2E-2
110		1,2E-2		2,2E-1		9,7E-3
115		9,9E-3		1,8E-1		8,1E-3
120		8,8E-3		1,5E-1		7,4E-3
125		8,2E-3		1,4E-1		7,3E-3
130		8,0E-3		1,4E-1		7,9E-3
135		8,0E-3		1,3E-1		8,7E-3
140		8,1E-3		1,3E-1		9,4E-3
145		8,3E-3		1,3E-1		1,1E-2
150		8,3E-3		1,3E-1		1,6E-1
155		8,3E-3		1,4E-1		4,3E+0
160		8,3E-3		1,5E-1		5,4E+1
165		8,4E-3		1,6E-1		8,4E+1
170		8,5E-3		1,6E-1		1,1E+2
175		8,6E-3		1,6E-1		1,3E+2
180		8,7E-3		1,6E-1		1,4E+2
185		8,8E-3		1,6E-1		1,5E+2
190		8,9E-3		1,6E-1		1,6E+2
195		9,0E-3		1,6E-1		1,7E+2
200		9,1E-3		1,6E-1		1,8E+2
205		9,1E-3		1,6E-1		1,8E+2
210		9,1E-3		1,6E-1		1,9E+2
215		9,2E-3		1,6E-1		1,9E+2
220		9,3E-3		1,6E-1		2,0E+2
225		9,4E-3		1,6E-1		2,0E+2
230		9,5E-3		1,6E-1		2,1E+2
235		9,6E-3		1,6E-1		2,1E+2
240		9,7E-3		1,6E-1		2,1E+2
245		9,7E-3		1,6E-1		2,2E+2
250		9,8E-3		1,6E-1		2,2E+2
255		9,8E-3		1,6E-1		2,3E+2
260		9,9E-3		1,6E-1		2,3E+2
265		1,0E-2		1,6E-1		2,3E+2
270		1,0E-2		1,6E-1		2,3E+2
275		1,0E-2		1,6E-1		2,3E+2
280		1,0E-2		1,6E-1		2,3E+2
285		1,0E-2		1,6E-1		2,3E+2
290		1,0E-2		1,6E-1		2,3E+2
295		1,0E-2		1,6E-1		2,3E+2
