Süre (Sn)	Basýnç (Torr)
0		5,6E-6
5		5,6E-6
10		1E-8
15		1,1E-6
20		5,3E-6
25		5,3E-6
30		5,3E-6
35		5,3E-6
40		5,7E-6
45		7,3E-6
50		1,1E-5
55		1,5E-5
60		1,9E-5
65		2,3E-5
70		2,6E-5
75		3E-5
80		3,3E-5
85		3,7E-5
90		4E-5
95		4,4E-5
100		4,7E-5
105		5E-5
110		5,3E-5
115		5,7E-5
120		6E-5
125		6,3E-5
130		6,6E-5
135		6,8E-5
140		6,8E-5
145		6,8E-5
150		7E-5
155		7,2E-5
160		7,5E-5
165		7,9E-5
170		8,4E-5
175		8,9E-5
180		9,3E-5
185		9,6E-5
190		1E-4
195		1E-4
200		1,1E-4
205		1,1E-4
210		1,2E-4
215		1,2E-4
220		1,2E-4
225		1,3E-4
230		1,3E-4
235		1,4E-4
240		1,4E-4
245		1,4E-4
250		1,5E-4
255		1,5E-4
260		1,5E-4
265		1,6E-4
270		1,6E-4
275		1,7E-4
280		1,7E-4
285		1,8E-4
290		1,8E-4
295		1,8E-4
300		1,9E-4
305		1,9E-4
310		2E-4
315		2E-4
320		2,1E-4
325		2,1E-4
330		2,1E-4
335		2,2E-4
340		2,2E-4
345		2,3E-4
350		2,3E-4
355		2,4E-4
360		2,4E-4
365		2,4E-4
370		2,5E-4
375		2,5E-4
380		2,6E-4
385		2,6E-4
390		2,7E-4
395		2,7E-4
400		2,8E-4
405		2,8E-4
410		2,9E-4
415		2,9E-4
420		3E-4
425		3E-4
430		3,1E-4
435		3,1E-4
440		3,2E-4
445		3,3E-4
450		3,3E-4
455		3,4E-4
460		3,4E-4
465		3,5E-4
470		3,6E-4
475		3,7E-4
480		3,7E-4
485		3,8E-4
490		3,9E-4
495		3,9E-4
500		4E-4
505		4,1E-4
510		4,2E-4
515		4,3E-4
520		4,4E-4
525		4,4E-4
530		4,5E-4
535		4,6E-4
540		4,7E-4
545		4,8E-4
550		4,9E-4
555		5E-4
560		5E-4
565		5,2E-4
570		5,2E-4
575		5,4E-4
580		5,5E-4
585		5,5E-4
590		5,6E-4
595		5,7E-4
600		5,9E-4
605		6E-4
610		6,1E-4
615		6,2E-4
620		6,2E-4
625		6,3E-4
630		6,5E-4
635		6,6E-4
640		6,7E-4
645		6,8E-4
650		6,9E-4
655		7,1E-4
660		7,2E-4
665		7,3E-4
670		7,4E-4
675		7,5E-4
680		7,6E-4
685		7,6E-4
690		7,8E-4
695		7,9E-4
700		8E-4
705		8,1E-4
710		8,2E-4
715		8,3E-4
720		8,4E-4
725		8,5E-4
730		8,6E-4
735		8,8E-4
740		8,9E-4
745		9E-4
750		9,2E-4
755		9,5E-4
760		9,8E-4
765		9,9E-4
770		1E-3
775		1E-3
780		1E-3
785		1E-3
790		1E-3
795		1E-3
800		1E-3
805		1,1E-3
810		1,1E-3
815		1,1E-3
820		1,1E-3
825		1,1E-3
830		1,1E-3
835		1,2E-3
840		1,2E-3
845		1,2E-3
850		1,2E-3
855		1,2E-3
860		1,2E-3
865		1,3E-3
870		1,3E-3
875		1,3E-3
880		1,3E-3
885		1,3E-3
890		1,3E-3
895		1,3E-3
900		1,4E-3
905		1,4E-3
910		1,4E-3
915		1,4E-3
920		1,4E-3
925		1,4E-3
930		1,5E-3
935		1,5E-3
940		1,5E-3
945		1,5E-3
950		1,5E-3
955		1,5E-3
960		1,6E-3
965		1,6E-3
970		1,6E-3
975		1,6E-3
980		1,6E-3
985		1,6E-3
990		1,6E-3
995		1,7E-3
1000		1,7E-3
1005		1,7E-3
1010		1,7E-3
1015		1,7E-3
1020		1,7E-3
1025		1,7E-3
1030		1,8E-3
1035		1,8E-3
1040		1,8E-3
1045		1,8E-3
1050		1,9E-3
1055		1,9E-3
1060		1,9E-3
1065		1,9E-3
1070		1,9E-3
1075		1,9E-3
1080		2E-3
1085		2E-3
1090		2E-3
1095		2E-3
1100		2E-3
1105		2,1E-3
1110		2,1E-3
1115		2,1E-3
1120		2,1E-3
1125		2,1E-3
1130		2,2E-3
1135		2,2E-3
1140		2,2E-3
1145		2,2E-3
1150		2,2E-3
1155		2,3E-3
1160		2,3E-3
1165		2,3E-3
1170		2,3E-3
1175		2,3E-3
1180		2,3E-3
1185		2,4E-3
1190		2,4E-3
1195		2,4E-3
1200		2,4E-3
1205		2,4E-3
1210		2,5E-3
1215		2,5E-3
1220		2,5E-3
1225		2,5E-3
1230		2,5E-3
1235		2,6E-3
1240		2,6E-3
1245		2,6E-3
1250		2,6E-3
1255		2,7E-3
1260		2,7E-3
1265		2,7E-3
1270		2,7E-3
1275		2,7E-3
1280		2,7E-3
1285		2,8E-3
1290		2,8E-3
1295		2,9E-3
1300		2,9E-3
1305		2,9E-3
1310		2,9E-3
1315		2,9E-3
1320		3E-3
1325		3E-3
1330		3E-3
1335		3E-3
1340		3E-3
1345		3,1E-3
1350		3,1E-3
1355		3,1E-3
1360		3,1E-3
1365		3,1E-3
1370		3,2E-3
1375		3,2E-3
1380		3,2E-3
1385		3,3E-3
1390		3,3E-3
1395		3,3E-3
1400		3,3E-3
1405		3,4E-3
1410		3,4E-3
1415		3,5E-3
1420		3,5E-3
1425		3,6E-3
1430		3,8E-3
1435		4,1E-3
1440		4,1E-3
1445		4,2E-3
1450		4,2E-3
1455		4,2E-3
1460		4,2E-3
1465		4,2E-3
1470		4,2E-3
1475		4,3E-3
1480		4,3E-3
1485		4,3E-3
1490		4,4E-3
1495		4,4E-3
1500		4,4E-3
1505		4,4E-3
1510		4,4E-3
1515		4,4E-3
1520		4,5E-3
1525		4,5E-3
1530		4,5E-3
1535		4,5E-3
1540		4,5E-3
1545		4,5E-3
1550		4,6E-3
1555		4,6E-3
1560		4,6E-3
1565		4,6E-3
1570		4,6E-3
1575		4,7E-3
1580		4,7E-3
1585		4,7E-3
1590		4,7E-3
1595		4,8E-3
1600		4,8E-3
1605		4,8E-3
1610		4,8E-3
1615		4,9E-3
1620		4,9E-3
1625		4,9E-3
1630		4,9E-3
1635		4,9E-3
1640		5E-3
1645		5E-3
1650		5E-3
1655		5E-3
1660		5E-3
1665		5E-3
1670		5,1E-3
1675		5,1E-3
1680		5,1E-3
1685		5,1E-3
1690		5,2E-3
1695		5,2E-3
1700		5,2E-3
1705		5,2E-3
1710		5,3E-3
1715		5,3E-3
1720		5,3E-3
1725		5,3E-3
1730		5,3E-3
1735		5,4E-3
1740		5,4E-3
1745		5,4E-3
1750		5,4E-3
1755		5,5E-3
1760		5,5E-3
1765		5,5E-3
1770		5,5E-3
1775		5,5E-3
1780		5,5E-3
1785		5,6E-3
1790		5,6E-3
1795		5,7E-3
1800		5,7E-3
1805		5,7E-3
1810		5,7E-3
1815		5,7E-3
1820		5,7E-3
1825		5,7E-3
1830		5,8E-3
1835		5,8E-3
1840		5,8E-3
1845		5,9E-3
1850		5,9E-3
1855		5,9E-3
1860		5,9E-3
1865		6E-3
1870		6E-3
1875		6E-3
1880		6E-3
1885		6,1E-3
1890		6,1E-3
1895		6,1E-3
1900		6,2E-3
