Süre (Sn)	Basýnç (Torr)
0		1E-6
5		1E-6
10		1E-8
15		2,5E-7
20		1E-6
25		1E-6
30		1E-6
35		1E-6
40		1E-6
45		1E-6
50		9,9E-7
55		9,7E-7
60		9,5E-7
65		9,4E-7
70		9,4E-7
75		9,5E-7
80		9,8E-7
85		1E-6
90		1E-6
95		9,9E-7
100		9,8E-7
105		9,9E-7
110		1E-6
115		1E-6
120		9,9E-7
125		9,9E-7
130		9,9E-7
135		9,9E-7
140		9,9E-7
145		9,8E-7
150		9,7E-7
155		9,8E-7
160		9,7E-7
165		9,7E-7
170		9,7E-7
175		9,8E-7
180		9,8E-7
185		9,8E-7
190		9,7E-7
195		9,6E-7
200		9,6E-7
205		9,6E-7
210		9,6E-7
215		9,7E-7
220		9,6E-7
225		9,6E-7
230		9,5E-7
235		9,5E-7
240		9,6E-7
245		9,7E-7
250		9,7E-7
255		9,6E-7
260		9,6E-7
265		9,6E-7
270		9,6E-7
275		9,5E-7
280		9,5E-7
285		9,6E-7
290		9,6E-7
295		9,6E-7
300		9,6E-7
305		9,6E-7
310		9,6E-7
315		9,6E-7
320		9,6E-7
325		9,5E-7
330		9,6E-7
335		9,6E-7
340		9,6E-7
345		9,7E-7
350		9,7E-7
355		9,7E-7
360		9,7E-7
365		9,8E-7
370		1E-6
375		1E-6
380		1E-6
385		1E-6
390		9,9E-7
395		1E-6
400		1E-6
405		9,9E-7
410		9,5E-7
415		9,2E-7
420		9,3E-7
425		9,6E-7
430		9,8E-7
435		9,9E-7
440		9,8E-7
445		9,8E-7
450		1E-6
455		1,3E-6
460		1,5E-6
465		1,4E-6
470		9,7E-7
475		9,5E-7
480		9,6E-7
485		9,8E-7
490		9,7E-7
495		9,6E-7
500		9,5E-7
505		9,5E-7
510		9,5E-7
515		9,6E-7
520		9,5E-7
525		9,6E-7
530		9,5E-7
535		9,5E-7
540		9,5E-7
545		9,5E-7
550		9,5E-7
555		9,5E-7
560		9,5E-7
565		9,5E-7
570		9,5E-7
575		9,5E-7
580		9,5E-7
585		9,5E-7
590		9,5E-7
595		9,5E-7
600		9,5E-7
605		9,5E-7
610		9,5E-7
615		9,5E-7
620		9,4E-7
625		9,4E-7
630		9,4E-7
635		9,4E-7
640		9,4E-7
645		9,5E-7
650		9,4E-7
655		9,4E-7
660		9,4E-7
665		9,4E-7
670		9,4E-7
675		9,4E-7
680		9,5E-7
685		9,5E-7
690		9,4E-7
695		9,4E-7
700		9,4E-7
705		9,4E-7
710		9,4E-7
715		9,4E-7
720		9,2E-7
725		9E-7
730		8,9E-7
735		9E-7
740		9E-7
745		9E-7
750		9E-7
755		9,1E-7
760		9E-7
765		9E-7
770		9E-7
775		9,1E-7
780		9,3E-7
785		9,3E-7
790		9,3E-7
795		9,2E-7
800		9,1E-7
805		9,1E-7
810		9,2E-7
815		9,1E-7
820		9,3E-7
825		9,4E-7
830		9,5E-7
835		9,4E-7
840		9,4E-7
845		9,3E-7
850		9,3E-7
855		9,3E-7
860		9,4E-7
865		9,3E-7
870		9,3E-7
875		9,3E-7
880		9,2E-7
885		9,2E-7
890		9,3E-7
895		9,3E-7
900		9,3E-7
905		9,4E-7
910		9,4E-7
915		9,5E-7
920		9,4E-7
925		9,4E-7
930		9,4E-7
935		9,5E-7
940		9,5E-7
945		9,4E-7
950		9,4E-7
955		9,4E-7
960		9,6E-7
965		9,7E-7
970		9,8E-7
975		9,8E-7
980		9,8E-7
985		9,9E-7
990		1,1E-6
995		1,1E-6
1000		9,4E-7
1005		9,2E-7
1010		9E-7
1015		9E-7
1020		9E-7
1025		9E-7
1030		9E-7
1035		9E-7
1040		9E-7
1045		9,1E-7
1050		9,1E-7
1055		9,3E-7
1060		9,5E-7
1065		9,5E-7
1070		9,5E-7
1075		9,4E-7
1080		9,4E-7
1085		9,5E-7
1090		9,5E-7
1095		9,5E-7
1100		9,5E-7
1105		9,7E-7
1110		9,6E-7
1115		9,6E-7
1120		9,5E-7
1125		9,5E-7
1130		9,6E-7
1135		9,5E-7
1140		9,5E-7
1145		9,5E-7
1150		9,5E-7
1155		9,5E-7
1160		9,5E-7
1165		9,3E-7
1170		9,4E-7
1175		9,4E-7
1180		9,3E-7
1185		9,2E-7
1190		9,2E-7
1195		9,1E-7
1200		9,2E-7
1205		9,2E-7
1210		9,1E-7
1215		9,1E-7
1220		9,1E-7
1225		9,1E-7
1230		9,1E-7
1235		9,1E-7
1240		9,1E-7
1245		9,1E-7
1250		9,1E-7
1255		9,1E-7
1260		9,1E-7
1265		9,1E-7
1270		9,1E-7
1275		9,1E-7
1280		9,2E-7
1285		9,2E-7
1290		9,1E-7
1295		9,1E-7
1300		9,1E-7
1305		9,1E-7
1310		9,1E-7
1315		9,1E-7
1320		9,1E-7
1325		9,1E-7
1330		9,1E-7
1335		9,1E-7
1340		9,1E-7
1345		9,1E-7
1350		9,1E-7
1355		9,1E-7
