Süre (Sn)	Basýnç (Torr)	Basýnç (Torr)	Basýnç (Torr)
---------	K-KBÖ		K-BBÖ		AH-PBÖ
0		0,0E+0		0,0E+0		0,0E+0
5		0,0E+0		0,0E+0		3,6E-6
10		1,8E-8		0,0E+0		1,5E-3
15		1,6E-4		0,0E+0		2,2E+0
20		9,5E-2		0,0E+0		5,9E+2
25		9,5E-2		0,0E+0		5,9E+2
30		9,5E-2		0,0E+0		5,9E+2
35		9,5E-2		0,0E+0		5,9E+2
40		9,5E-2		0,0E+0		5,9E+2
45		9,5E-2		0,0E+0		5,9E+2
50		9,5E-2		0,0E+0		3,7E+2
55		9,5E-2		0,0E+0		1,2E+2
60		9,5E-2		0,0E+0		2,7E+1
65		9,5E-2		0,0E+0		1,2E+1
70		9,5E-2		0,0E+0		8,1E+0
75		9,5E-2		0,0E+0		5,8E+0
80		9,5E-2		0,0E+0		2,7E+0
85		9,5E-2		0,0E+0		8,0E-1
90		9,6E-2		0,0E+0		2,5E-1
95		9,6E-2		0,0E+0		1,8E-1
100		9,6E-2		0,0E+0		1,8E-1
105		9,6E-2		0,0E+0		1,7E-1
110		9,6E-2		0,0E+0		1,7E-1
115		9,6E-2		0,0E+0		1,7E-1
120		9,6E-2		0,0E+0		1,7E-1
125		9,6E-2		0,0E+0		1,7E-1
130		9,6E-2		0,0E+0		1,7E-1
135		9,6E-2		0,0E+0		1,7E-1
140		9,6E-2		0,0E+0		1,7E-1
145		9,6E-2		0,0E+0		1,7E-1
150		9,6E-2		0,0E+0		1,7E-1
155		9,6E-2		0,0E+0		1,7E-1
160		9,6E-2		0,0E+0		1,7E-1
165		9,5E-2		0,0E+0		1,7E-1
170		9,5E-2		0,0E+0		1,7E-1
175		9,5E-2		0,0E+0		1,7E-1
180		9,5E-2		0,0E+0		1,7E-1
185		4,2E-1		0,0E+0		2,5E+0
190		2,8E+0		0,0E+0		4,5E+1
195		1,8E+1		0,0E+0		5,8E+2
200		3,2E+1		0,0E+0		5,8E+2
205		4,2E+1		0,0E+0		5,8E+2
210		5,2E+1		0,0E+0		5,8E+2
215		6,2E+1		0,0E+0		5,8E+2
220		7,0E+1		0,0E+0		5,8E+2
225		7,8E+1		0,0E+0		5,8E+2
230		8,6E+1		0,0E+0		5,8E+2
235		9,4E+1		0,0E+0		5,8E+2
240		1,0E+2		0,0E+0		5,8E+2
245		1,1E+2		0,0E+0		5,8E+2
250		1,2E+2		0,0E+0		5,8E+2
255		1,3E+2		0,0E+0		5,8E+2
260		1,3E+2		0,0E+0		5,8E+2
265		1,4E+2		0,0E+0		5,8E+2
270		1,5E+2		0,0E+0		5,8E+2
275		1,6E+2		0,0E+0		5,8E+2
280		1,7E+2		0,0E+0		5,8E+2
285		1,7E+2		0,0E+0		5,8E+2
290		1,8E+2		0,0E+0		5,8E+2
295		1,9E+2		0,0E+0		5,8E+2
300		2,0E+2		0,0E+0		5,8E+2
305		2,1E+2		0,0E+0		5,8E+2
310		2,2E+2		0,0E+0		5,8E+2
315		2,3E+2		0,0E+0		5,8E+2
320		2,4E+2		0,0E+0		5,8E+2
325		2,5E+2		0,0E+0		5,8E+2
330		2,7E+2		0,0E+0		5,8E+2
335		2,8E+2		0,0E+0		5,8E+2
340		2,9E+2		0,0E+0		5,8E+2
345		3,0E+2		0,0E+0		5,8E+2
350		3,2E+2		0,0E+0		5,8E+2
355		3,3E+2		0,0E+0		5,8E+2
360		3,4E+2		0,0E+0		5,8E+2
365		3,6E+2		0,0E+0		5,8E+2
370		3,7E+2		0,0E+0		5,8E+2
375		3,8E+2		0,0E+0		5,8E+2
380		3,9E+2		0,0E+0		5,8E+2
385		4,1E+2		0,0E+0		5,8E+2
390		4,2E+2		0,0E+0		5,8E+2
395		4,3E+2		0,0E+0		5,8E+2
400		4,5E+2		0,0E+0		5,8E+2
405		4,6E+2		0,0E+0		5,8E+2
410		4,8E+2		0,0E+0		5,8E+2
415		4,9E+2		0,0E+0		5,8E+2
420		5,1E+2		0,0E+0		5,8E+2
425		5,2E+2		0,0E+0		5,8E+2
430		5,4E+2		0,0E+0		5,8E+2
435		5,5E+2		0,0E+0		5,8E+2
440		5,7E+2		0,0E+0		5,8E+2
445		5,9E+2		0,0E+0		5,8E+2
450		6,0E+2		0,0E+0		5,8E+2
455		6,2E+2		0,0E+0		5,8E+2
460		6,5E+2		0,0E+0		5,8E+2
465		6,7E+2		0,0E+0		5,8E+2
470		6,9E+2		0,0E+0		5,8E+2
475		7,2E+2		0,0E+0		5,8E+2
480		7,5E+2		0,0E+0		5,8E+2
485		7,6E+2		0,0E+0		5,8E+2
490		7,6E+2		0,0E+0		5,8E+2
495		7,6E+2		0,0E+0		5,8E+2
500		7,6E+2		0,0E+0		5,8E+2
505		7,6E+2		0,0E+0		5,8E+2
510		7,6E+2		0,0E+0		5,8E+2
515		7,6E+2		0,0E+0		5,8E+2
520		7,6E+2		0,0E+0		5,8E+2
525		7,6E+2		0,0E+0		5,8E+2
530		7,6E+2		0,0E+0		5,8E+2
535		7,6E+2		0,0E+0		5,8E+2
540		7,6E+2		0,0E+0		5,8E+2
545		7,6E+2		0,0E+0		5,8E+2
550		7,6E+2		0,0E+0		5,8E+2
555		7,6E+2		0,0E+0		5,8E+2
560		7,6E+2		0,0E+0		5,8E+2
565		7,6E+2		0,0E+0		5,8E+2
570		7,6E+2		0,0E+0		5,8E+2
575		7,6E+2		0,0E+0		5,8E+2
580		7,6E+2		0,0E+0		5,8E+2
585		7,6E+2		0,0E+0		5,8E+2
590		7,6E+2		0,0E+0		5,8E+2
595		7,6E+2		0,0E+0		5,8E+2
600		7,6E+2		0,0E+0		5,8E+2
605		7,6E+2		0,0E+0		5,8E+2
610		7,6E+2		0,0E+0		5,8E+2
615		7,6E+2		0,0E+0		5,8E+2
620		7,6E+2		0,0E+0		5,8E+2
625		7,6E+2		0,0E+0		5,8E+2
630		7,6E+2		0,0E+0		5,8E+2
635		7,6E+2		0,0E+0		5,8E+2
640		7,6E+2		0,0E+0		5,8E+2
645		7,6E+2		0,0E+0		5,8E+2
650		7,6E+2		0,0E+0		5,8E+2
655		7,6E+2		0,0E+0		5,8E+2
660		7,6E+2		0,0E+0		5,8E+2
665		7,6E+2		0,0E+0		5,8E+2
670		7,6E+2		0,0E+0		5,8E+2
675		7,6E+2		0,0E+0		5,8E+2
680		7,6E+2		0,0E+0		5,8E+2
685		7,6E+2		0,0E+0		5,8E+2
690		7,6E+2		0,0E+0		5,8E+2
695		7,6E+2		0,0E+0		5,8E+2
700		7,6E+2		0,0E+0		5,8E+2
705		7,6E+2		0,0E+0		5,8E+2
710		7,6E+2		0,0E+0		5,8E+2
715		7,6E+2		0,0E+0		5,8E+2
720		7,6E+2		0,0E+0		5,8E+2
725		7,6E+2		0,0E+0		5,8E+2
730		7,6E+2		0,0E+0		5,8E+2
735		7,6E+2		0,0E+0		5,8E+2
740		7,6E+2		0,0E+0		5,8E+2
745		7,6E+2		0,0E+0		5,8E+2
750		7,6E+2		0,0E+0		5,8E+2
755		7,6E+2		0,0E+0		5,8E+2
760		7,6E+2		0,0E+0		5,8E+2
765		7,6E+2		0,0E+0		5,8E+2
770		7,6E+2		0,0E+0		5,8E+2
775		7,6E+2		0,0E+0		5,8E+2
780		7,6E+2		0,0E+0		5,8E+2
785		7,6E+2		0,0E+0		5,8E+2
790		7,6E+2		0,0E+0		5,8E+2
795		7,6E+2		0,0E+0		5,8E+2
800		7,6E+2		0,0E+0		5,8E+2
805		7,6E+2		0,0E+0		5,8E+2
810		7,6E+2		0,0E+0		5,8E+2
815		7,6E+2		0,0E+0		5,8E+2
820		7,6E+2		0,0E+0		5,8E+2
825		7,6E+2		0,0E+0		5,8E+2
830		7,6E+2		0,0E+0		5,8E+2
835		7,6E+2		0,0E+0		5,8E+2
