Süre (Sn)	Basýnç (Torr)	Basýnç (Torr)	Basýnç (Torr)
---------	K-KBÖ		K-BBÖ		AH-PBÖ
0		2,1E-1		0,0E+0		5,8E+2
5		2,1E-1		0,0E+0		5,8E+2
10		2,1E-1		0,0E+0		5,8E+2
15		2,1E-1		0,0E+0		5,8E+2
20		2,1E-1		0,0E+0		5,8E+2
25		2,1E-1		0,0E+0		5,8E+2
30		2,1E-1		0,0E+0		5,8E+2
35		2,1E-1		0,0E+0		5,8E+2
40		2,1E-1		0,0E+0		5,8E+2
45		2,1E-1		0,0E+0		5,8E+2
50		2,1E-1		0,0E+0		5,8E+2
55		2,1E-1		0,0E+0		5,8E+2
60		2,1E-1		0,0E+0		5,8E+2
65		2,1E-1		0,0E+0		5,8E+2
70		2,1E-1		0,0E+0		5,8E+2
75		2,1E-1		0,0E+0		5,8E+2
80		2,1E-1		0,0E+0		5,8E+2
85		2,1E-1		0,0E+0		5,8E+2
90		2,1E-1		0,0E+0		5,8E+2
95		2,1E-1		0,0E+0		5,8E+2
100		2,1E-1		0,0E+0		5,8E+2
105		2,1E-1		0,0E+0		5,8E+2
110		2,1E-1		0,0E+0		5,8E+2
115		2,1E-1		0,0E+0		5,8E+2
120		2,1E-1		0,0E+0		5,8E+2
125		2,1E-1		0,0E+0		5,8E+2
130		2,1E-1		0,0E+0		5,8E+2
135		2,1E-1		0,0E+0		5,8E+2
140		2,1E-1		0,0E+0		5,8E+2
145		2,1E-1		2,3E-2		5,8E+2
150		2,1E-1		5,4E-2		5,8E+2
155		2,1E-1		7,8E-2		5,8E+2
160		2,1E-1		1,0E-1		5,8E+2
165		2,1E-1		1,2E-1		5,8E+2
170		2,1E-1		1,4E-1		5,8E+2
175		2,1E-1		1,5E-1		5,8E+2
180		2,1E-1		1,7E-1		5,8E+2
185		2,1E-1		1,8E-1		5,8E+2
190		2,1E-1		2,0E-1		5,8E+2
195		2,1E-1		2,1E-1		5,8E+2
200		2,1E-1		2,3E-1		5,8E+2
205		2,1E-1		2,5E-1		5,8E+2
210		2,1E-1		2,7E-1		5,8E+2
215		2,1E-1		2,9E-1		5,8E+2
220		2,1E-1		3,1E-1		5,8E+2
225		2,1E-1		3,4E-1		5,8E+2
230		2,1E-1		3,6E-1		5,8E+2
235		2,1E-1		3,7E-1		5,8E+2
240		2,1E-1		4,0E-1		5,8E+2
