Süre (Sn)	Basýnç (Torr)	Basýnç (Torr)	Basýnç (Torr)
---------	K-KBÖ		K-BBÖ		AH-PBÖ
0		7,6E+2		5,7E+2		7,6E+2
5		7,6E+2		0,0E+0		1,4E-5
10		3,0E-5		0,0E+0		3,0E-2
15		1,3E+1		5,2E+1		6,3E+1
20		7,6E+2		1,0E+2		7,6E+2
25		7,6E+2		1,7E+2		7,6E+2
30		7,6E+2		2,1E+2		7,6E+2
35		7,6E+2		2,8E+2		7,6E+2
40		7,6E+2		3,3E+2		7,6E+2
45		7,6E+2		3,9E+2		7,6E+2
50		7,6E+2		4,4E+2		7,6E+2
55		7,6E+2		4,9E+2		7,6E+2
60		7,6E+2		5,6E+2		7,6E+2
65		7,6E+2		5,7E+2		7,6E+2
70		7,6E+2		5,7E+2		7,6E+2
75		7,6E+2		5,7E+2		7,6E+2
80		7,6E+2		5,7E+2		7,6E+2
85		7,6E+2		5,7E+2		7,6E+2
90		7,6E+2		5,7E+2		7,6E+2
95		7,6E+2		5,7E+2		7,6E+2
100		7,6E+2		5,7E+2		7,6E+2
105		7,6E+2		5,7E+2		7,6E+2
110		7,6E+2		5,7E+2		7,6E+2
115		7,6E+2		5,7E+2		7,6E+2
120		7,6E+2		5,7E+2		7,6E+2
125		7,6E+2		5,7E+2		7,6E+2
130		7,6E+2		5,7E+2		7,6E+2
135		7,6E+2		5,7E+2		7,6E+2
140		7,6E+2		5,7E+2		7,6E+2
145		7,6E+2		5,7E+2		7,6E+2
150		7,6E+2		5,7E+2		7,6E+2
155		7,6E+2		5,7E+2		7,6E+2
160		7,6E+2		5,7E+2		7,6E+2
165		7,6E+2		5,7E+2		7,6E+2
170		7,6E+2		5,7E+2		7,6E+2
175		7,6E+2		5,7E+2		7,6E+2
180		7,6E+2		5,7E+2		7,6E+2
185		7,6E+2		5,7E+2		7,6E+2
190		7,6E+2		5,7E+2		7,6E+2
195		7,6E+2		5,7E+2		7,6E+2
200		7,1E+2		5,7E+2		7,6E+2
205		5,5E+2		5,7E+2		7,6E+2
210		4,4E+2		5,7E+2		7,6E+2
215		3,7E+2		5,7E+2		7,6E+2
220		3,1E+2		5,7E+2		7,6E+2
225		2,6E+2		5,7E+2		7,6E+2
230		2,3E+2		5,7E+2		7,6E+2
235		2,0E+2		5,7E+2		7,6E+2
240		1,7E+2		5,7E+2		7,6E+2
245		1,5E+2		5,7E+2		7,6E+2
250		1,3E+2		5,7E+2		7,6E+2
255		1,2E+2		5,7E+2		7,6E+2
260		1,1E+2		5,7E+2		7,6E+2
265		9,7E+1		5,7E+2		7,6E+2
270		8,7E+1		5,7E+2		7,6E+2
275		7,9E+1		5,7E+2		7,6E+2
280		7,1E+1		5,7E+2		7,6E+2
285		6,5E+1		5,7E+2		7,6E+2
290		5,9E+1		5,7E+2		7,6E+2
295		5,4E+1		5,7E+2		7,6E+2
300		4,9E+1		5,7E+2		7,6E+2
305		4,5E+1		5,7E+2		7,6E+2
310		4,2E+1		5,7E+2		7,6E+2
315		3,8E+1		5,7E+2		7,6E+2
320		3,3E+1		5,7E+2		7,6E+2
325		2,7E+1		5,7E+2		7,6E+2
330		2,2E+1		5,7E+2		7,6E+2
335		1,7E+1		5,7E+2		7,6E+2
340		1,4E+1		5,7E+2		7,6E+2
345		1,1E+1		5,7E+2		7,6E+2
350		8,0E+0		5,7E+2		7,6E+2
355		5,7E+0		5,7E+2		7,6E+2
360		4,0E+0		5,7E+2		6,9E+2
365		2,7E+0		5,7E+2		3,5E+2
370		1,8E+0		5,7E+2		9,0E+1
375		1,2E+0		5,7E+2		1,7E+1
380		8,0E-1		5,7E+2		6,4E+0
385		5,3E-1		5,7E+2		3,4E+0
390		3,5E-1		5,7E+2		2,0E+0
395		2,3E-1		5,7E+2		1,4E+0
400		1,6E-1		5,7E+2		9,3E-1
405		1,1E-1		5,7E+2		6,8E-1
410		7,9E-2		5,7E+2		5,3E-1
415		5,7E-2		5,7E+2		4,2E-1
420		4,3E-2		5,7E+2		3,5E-1
425		3,4E-2		5,7E+2		3,1E-1
430		2,7E-2		5,7E+2		2,8E-1
435		2,2E-2		5,7E+2		2,6E-1
440		1,9E-2		5,7E+2		2,4E-1
445		1,6E-2		5,7E+2		2,3E-1
450		1,5E-2		5,7E+2		2,3E-1
455		1,4E-2		5,7E+2		2,2E-1
460		1,3E-2		5,7E+2		2,2E-1
465		1,2E-2		5,7E+2		2,1E-1
470		1,1E-2		5,7E+2		2,1E-1
475		1,0E-2		5,7E+2		2,1E-1
480		9,7E-3		5,7E+2		2,1E-1
485		9,2E-3		5,7E+2		2,0E-1
490		8,8E-3		5,7E+2		2,0E-1
495		8,4E-3		5,7E+2		2,0E-1
500		8,2E-3		5,7E+2		2,0E-1
505		8,1E-3		5,7E+2		2,0E-1
510		7,9E-3		5,7E+2		2,0E-1
515		7,7E-3		5,7E+2		1,9E-1
520		7,4E-3		5,7E+2		1,9E-1
525		7,2E-3		5,7E+2		1,9E-1
530		7,0E-3		5,7E+2		1,9E-1
535		6,8E-3		5,7E+2		1,9E-1
540		6,6E-3		5,7E+2		1,9E-1
545		6,5E-3		5,7E+2		1,9E-1
550		6,4E-3		5,7E+2		1,9E-1
555		6,3E-3		5,7E+2		1,9E-1
560		6,3E-3		5,7E+2		1,9E-1
565		6,3E-3		5,7E+2		1,9E-1
570		6,2E-3		5,7E+2		1,9E-1
575		6,1E-3		5,7E+2		1,9E-1
580		5,9E-3		5,7E+2		1,9E-1
585		5,8E-3		5,7E+2		1,9E-1
590		5,6E-3		5,7E+2		1,9E-1
595		5,5E-3		5,7E+2		1,9E-1
600		5,4E-3		5,7E+2		1,9E-1
605		5,3E-3		5,7E+2		1,9E-1
610		5,2E-3		5,7E+2		1,9E-1
615		5,1E-3		5,7E+2		1,9E-1
620		5,0E-3		5,7E+2		1,9E-1
625		4,9E-3		5,7E+2		1,9E-1
630		4,8E-3		5,7E+2		1,9E-1
635		4,7E-3		5,7E+2		1,9E-1
640		4,7E-3		5,7E+2		1,9E-1
645		4,6E-3		5,7E+2		1,9E-1
650		4,5E-3		5,7E+2		1,9E-1
655		4,5E-3		5,7E+2		1,9E-1
660		4,4E-3		5,7E+2		1,9E-1
665		4,4E-3		5,7E+2		1,9E-1
670		4,3E-3		5,7E+2		1,9E-1
675		4,3E-3		5,7E+2		1,9E-1
680		4,2E-3		5,7E+2		1,9E-1
685		4,2E-3		5,7E+2		1,9E-1
690		4,1E-3		5,7E+2		1,9E-1
695		4,1E-3		5,7E+2		1,8E-1
700		4,1E-3		5,7E+2		1,8E-1
705		4,1E-3		5,7E+2		1,8E-1
710		4,2E-3		5,7E+2		1,8E-1
715		4,4E-3		5,7E+2		1,9E-1
720		4,7E-3		5,7E+2		2,4E-1
725		5,1E-3		5,7E+2		5,8E+0
730		5,4E-3		5,7E+2		1,7E+2
735		5,7E-3		5,7E+2		7,6E+2
740		6,0E-3		5,7E+2		7,6E+2
745		6,3E-3		5,7E+2		7,6E+2
750		6,6E-3		5,7E+2		7,6E+2
755		6,9E-3		5,7E+2		7,6E+2
760		7,2E-3		5,7E+2		7,6E+2
765		7,5E-3		5,7E+2		7,6E+2
770		7,7E-3		5,7E+2		7,6E+2
775		8,0E-3		5,7E+2		7,6E+2
780		8,2E-3		5,7E+2		7,6E+2
785		8,3E-3		5,7E+2		7,6E+2
790		8,5E-3		5,7E+2		7,6E+2
795		8,7E-3		5,7E+2		7,6E+2
800		9,0E-3		5,7E+2		7,6E+2
805		9,2E-3		5,7E+2		7,6E+2
810		9,5E-3		5,7E+2		7,6E+2
815		9,7E-3		5,7E+2		7,6E+2
820		9,9E-3		5,7E+2		7,6E+2
825		1,0E-2		5,7E+2		7,6E+2
830		1,0E-2		5,7E+2		7,6E+2
835		1,1E-2		5,7E+2		7,6E+2
840		1,1E-2		5,7E+2		7,6E+2
845		1,1E-2		5,7E+2		7,6E+2
850		1,1E-2		5,7E+2		7,6E+2
855		1,2E-2		5,7E+2		7,6E+2
860		1,2E-2		5,7E+2		7,6E+2
865		1,2E-2		5,7E+2		7,6E+2
870		1,2E-2		5,7E+2		7,6E+2
875		1,3E-2		5,7E+2		7,6E+2
880		1,3E-2		5,7E+2		7,6E+2
885		1,3E-2		5,7E+2		7,6E+2
890		1,3E-2		5,7E+2		7,6E+2
895		1,3E-2		5,7E+2		7,6E+2
900		1,4E-2		5,7E+2		7,6E+2
905		1,4E-2		5,7E+2		7,6E+2
910		1,4E-2		5,7E+2		7,6E+2
915		1,4E-2		5,7E+2		7,6E+2
920		1,4E-2		5,7E+2		7,6E+2
925		1,5E-2		5,7E+2		7,6E+2
930		1,5E-2		5,7E+2		7,6E+2
935		1,5E-2		5,7E+2		7,6E+2
940		1,5E-2		5,7E+2		7,6E+2
945		1,6E-2		5,7E+2		7,6E+2
950		1,6E-2		5,7E+2		7,6E+2
955		1,6E-2		5,7E+2		7,6E+2
960		1,6E-2		5,7E+2		7,6E+2
965		1,6E-2		5,7E+2		7,6E+2
970		1,6E-2		5,7E+2		7,6E+2
975		1,7E-2		5,7E+2		7,6E+2
980		1,7E-2		5,7E+2		7,6E+2
985		1,7E-2		5,7E+2		7,6E+2
990		1,7E-2		5,7E+2		7,6E+2
995		1,7E-2		5,7E+2		7,6E+2
1000		1,8E-2		5,7E+2		7,6E+2
1005		1,8E-2		5,7E+2		7,6E+2
1010		1,8E-2		5,7E+2		7,6E+2
1015		1,8E-2		5,7E+2		7,6E+2
1020		1,8E-2		5,7E+2		7,6E+2
1025		1,9E-2		5,7E+2		7,6E+2
1030		1,9E-2		5,7E+2		7,6E+2
1035		1,9E-2		5,7E+2		7,6E+2
1040		1,9E-2		5,7E+2		7,6E+2
