İşlem Akışı -  vaksis-Administrator  / 08:31:33
1.03.2017 / 08:31:35  -Kelebek vana kapatıldı.
1.03.2017 / 08:32:05  -1. Bölge Isıtıcısı istenilen değere set edildi.
1.03.2017 / 08:32:05  -2. Bölge Isıtıcısı istenilen değere set edildi.
1.03.2017 / 08:32:06  -3. Bölge Isıtıcısı istenilen değere set edildi.
1.03.2017 / 08:32:12  -1. Bölge Isıtıcısı sıfıra set edildi.
1.03.2017 / 08:32:14  -2. Bölge Isıtıcısı sıfıra set edildi.
1.03.2017 / 08:32:14  -3. Bölge Isıtıcısı sıfıra set edildi.
1.03.2017 / 08:32:24  -1. Bölge Isıtıcısı istenilen değere set edildi.
1.03.2017 / 08:32:25  -2. Bölge Isıtıcısı istenilen değere set edildi.
1.03.2017 / 08:32:25  -3. Bölge Isıtıcısı istenilen değere set edildi.
1.03.2017 / 08:32:30  -1. Bölge Isıtıcısı sıfıra set edildi.
1.03.2017 / 08:32:31  -3. Bölge Isıtıcısı sıfıra set edildi.
