Ýþlem Akýþý -  vaksis-Administrator  / 18:19:35
17.02.2017 / 18:19:37  -Kelebek vana kapatýldý.
17.02.2017 / 18:19:38  -Su akýþ vanasý açýldý.
17.02.2017 / 18:19:39  -AH-ATM açýldý.
17.02.2017 / 18:21:00                                             
17.02.2017 / 18:21:01  -Sistemi "Vakuma Alma" Ýþlemi Baþlatýldý.
17.02.2017 / 18:21:02  -1. Bölge Isýtýcýsý sýfýra set edildi.
17.02.2017 / 18:21:04  -2. Bölge Isýtýcýsý sýfýra set edildi.
17.02.2017 / 18:21:05  -3. Bölge Isýtýcýsý sýfýra set edildi.
17.02.2017 / 18:21:17  -AH-ATM kapatýldý.
17.02.2017 / 18:21:21  -MP'ye çalýþ komutu gönderildi.
17.02.2017 / 18:21:21  -Alt Hat basýncýnýn 10 dakika içerisinde 10 Torr deðerine düþmesi bekleniyor.
17.02.2017 / 18:21:43  -RP'ye çalýþ komutu gönderildi.
17.02.2017 / 18:21:43  -Alt Hat basýncýnýn 10 dakika içerisinde 0,9 Torr deðerine düþmesi bekleniyor.
17.02.2017 / 18:21:56  -DP-BV açýldý.
17.02.2017 / 18:21:58  -DP'ye çalýþ komutu gönderildi.
17.02.2017 / 18:22:59  -DP'nin ýsýnmasý bekleniyor.
17.02.2017 / 18:34:01  -BBÖ-BV açýldý.
17.02.2017 / 18:34:19  -Ana vana açýldý.
17.02.2017 / 18:34:20  -Ýstenilen basýnç seviyesine düþmesi bekleniyor.
17.02.2017 / 18:34:46  -Ýstenilen basýnç seviyesine geldi.
17.02.2017 / 18:34:53  -Otomatik Pompalama Ýþlemi Tamamlandý.
                                                      
17.02.2017 / 18:34:56  -Daha düþük basýnç deðerleri için LÜTFEN BEKLEYÝNÝZ.
17.02.2017 / 18:44:26  -Isýtýcý istenilen deðere set edildi.
17.02.2017 / 18:44:26  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 18:44:27  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 18:45:16  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 18:45:17  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 18:45:17  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 18:47:34  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 18:47:34  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 18:47:35  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 18:48:48  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 18:48:49  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 18:48:50  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 18:50:27  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 18:50:28  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 18:50:29  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 18:55:02  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 18:55:03  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 18:56:51  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 18:56:53  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 19:01:25  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 19:01:26  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 19:01:27  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 19:03:17  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 19:03:18  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 19:03:19  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 19:04:08  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 19:04:08  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 19:04:39  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 19:04:41  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
17.02.2017 / 19:04:46  -1. Bölge Isýtýcýsý sýfýra set edildi.
17.02.2017 / 19:04:47  -2. Bölge Isýtýcýsý sýfýra set edildi.
17.02.2017 / 19:04:47  -3. Bölge Isýtýcýsý sýfýra set edildi.
17.02.2017 / 19:04:48  -Isýtýcý sýfýra set edildi.
