Ýþlem Akýþý -  vaksis-Administrator  / 12:05:34
***** ERROR  22.02.2017 / 14:39:12    N2 Purge gaz akýþý yok ! Lütfen N2 Purge Regülatör vanasýnýn açýk olduðundan emin olunuz.

22.02.2017 / 14:39:35  -Ortak gaz vanasý kapatýldý.
22.02.2017 / 14:39:44  -Azot (Purge) gaz vanasý kapatýldý.
22.02.2017 / 14:41:13  -Kelebek vana ara pozisyona alýndý.
22.02.2017 / 14:41:14  -RP'ye dur komutu gönderildi.
22.02.2017 / 14:41:25  -Ortak gaz vanasý açýldý.
22.02.2017 / 14:41:26  -Azot (Purge) gaz vanasý açýldý.
22.02.2017 / 14:41:39  -Kelebek vana kapatýldý.
22.02.2017 / 14:41:56  -Oksijen gaz akýþ kontrolcüsü aktif hale getirildi.
22.02.2017 / 14:46:50  -1. Bölge Isýtýcýsý sýfýra set edildi.
22.02.2017 / 14:46:51  -2. Bölge Isýtýcýsý sýfýra set edildi.
22.02.2017 / 14:46:52  -3. Bölge Isýtýcýsý sýfýra set edildi.
22.02.2017 / 14:56:29  -3. Bölge Isýtýcýsý sýfýra set edildi.
22.02.2017 / 14:57:07  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 14:57:08  -1. Bölge Isýtýcýsý sýfýra set edildi.
22.02.2017 / 14:57:11  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 14:57:11  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 14:57:13  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 14:58:56  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 14:58:57  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 14:58:58  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:02:05  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:02:07  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:02:07  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:05:06  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:05:06  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:05:07  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:06:23  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:06:27  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:06:31  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:09:14  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:09:25  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:09:26  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:09:26  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:12:50  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:12:51  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:12:52  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:12:53  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:12:54  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:13:22  -Oksijen gaz akýþ kontrolcüsü deaktif hale getirildi.
22.02.2017 / 15:13:27  -Oksijen gaz akýþ kontrolcüsü deaktif hale getirildi.

***** ERROR  22.02.2017 / 15:13:27    N2 Purge gaz akýþý yok ! Lütfen N2 Purge Regülatör vanasýnýn açýk olduðundan emin olunuz.

22.02.2017 / 15:15:26  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:15:30  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:15:35  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:15:45  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:15:46  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:22:30  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:22:35  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:31:32  -Oksijen gaz akýþ kontrolcüsü aktif hale getirildi.
22.02.2017 / 15:31:37  -Oksijen gaz akýþ kontrolcüsü deaktif hale getirildi.
22.02.2017 / 15:44:54  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 15:46:23  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 16:01:52  -2. Bölge Isýtýcýsý sýfýra set edildi.
22.02.2017 / 16:02:14  -1. Bölge Isýtýcýsý sýfýra set edildi.
22.02.2017 / 16:02:16  -3. Bölge Isýtýcýsý sýfýra set edildi.
22.02.2017 / 16:02:24  -1. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 16:02:26  -2. Bölge Isýtýcýsý istenilen deðere set edildi.
22.02.2017 / 16:02:28  -3. Bölge Isýtýcýsý istenilen deðere set edildi.
