Süre (Sn)	Basýnç (Torr)	Basýnç (Torr)	Basýnç (Torr)
---------	K-KBÖ		K-BBÖ		AH-PBÖ
0		1,7E-1		0,0E+0		1,8E+2
5		1,7E-1		0,0E+0		1,8E+2
10		2,2E-8		0,0E+0		1,5E-3
15		2,4E-4		0,0E+0		1,4E+0
20		1,7E-1		0,0E+0		1,8E+2
25		1,7E-1		0,0E+0		1,8E+2
30		1,7E-1		0,0E+0		1,8E+2
35		1,7E-1		0,0E+0		1,8E+2
40		1,7E-1		0,0E+0		1,8E+2
45		1,7E-1		0,0E+0		1,8E+2
50		1,7E-1		0,0E+0		1,8E+2
55		1,7E-1		0,0E+0		1,9E+2
60		1,7E-1		0,0E+0		1,9E+2
65		1,7E-1		0,0E+0		2,0E+2
70		1,7E-1		0,0E+0		1,2E+2
75		1,7E-1		0,0E+0		3,5E+1
80		1,7E-1		0,0E+0		8,1E+0
85		1,7E-1		0,0E+0		1,1E+0
90		1,7E-1		0,0E+0		1,0E-1
95		1,7E-1		0,0E+0		2,0E-2
100		1,7E-1		0,0E+0		1,9E-2
105		1,7E-1		0,0E+0		1,3E-2
110		1,7E-1		0,0E+0		6,9E-3
115		1,7E-1		0,0E+0		4,5E-3
120		1,7E-1		0,0E+0		3,2E-3
125		1,7E-1		0,0E+0		2,6E-3
130		1,7E-1		0,0E+0		2,2E-3
135		1,7E-1		0,0E+0		2,0E-3
140		1,7E-1		0,0E+0		2,1E-3
145		1,7E-1		0,0E+0		1,9E-3
150		1,7E-1		0,0E+0		1,6E-3
155		1,7E-1		0,0E+0		1,3E-3
160		1,7E-1		0,0E+0		1,2E-3
165		1,7E-1		0,0E+0		1,2E-3
170		1,7E-1		0,0E+0		1,1E-3
175		1,7E-1		0,0E+0		1,1E-3
180		1,7E-1		0,0E+0		1,0E-3
185		1,7E-1		0,0E+0		1,0E-3
190		1,7E-1		0,0E+0		1,0E-3
195		1,7E-1		0,0E+0		1,0E-3
200		1,7E-1		0,0E+0		9,8E-4
205		1,7E-1		0,0E+0		9,7E-4
210		1,7E-1		0,0E+0		9,5E-4
215		1,7E-1		0,0E+0		9,4E-4
220		1,7E-1		0,0E+0		9,2E-4
225		1,7E-1		0,0E+0		9,1E-4
230		1,7E-1		0,0E+0		9,0E-4
235		1,7E-1		0,0E+0		9,0E-4
240		1,7E-1		0,0E+0		9,0E-4
245		1,7E-1		0,0E+0		9,0E-4
250		1,7E-1		0,0E+0		9,0E-4
255		1,7E-1		0,0E+0		9,0E-4
260		1,7E-1		0,0E+0		8,9E-4
265		1,7E-1		0,0E+0		8,9E-4
270		1,7E-1		0,0E+0		8,9E-4
275		1,7E-1		0,0E+0		1,1E-3
280		1,7E-1		0,0E+0		1,4E-3
285		1,7E-1		0,0E+0		1,8E-3
290		1,7E-1		0,0E+0		1,8E-3
295		1,7E-1		0,0E+0		1,7E-3
300		1,7E-1		0,0E+0		1,6E-3
305		1,7E-1		0,0E+0		1,5E-3
310		1,7E-1		0,0E+0		1,4E-3
315		1,7E-1		0,0E+0		1,3E-3
320		1,7E-1		0,0E+0		1,2E-3
325		1,7E-1		0,0E+0		1,1E-3
330		1,7E-1		0,0E+0		1,1E-3
335		1,7E-1		0,0E+0		1,0E-3
340		1,7E-1		0,0E+0		9,9E-4
345		1,7E-1		0,0E+0		9,6E-4
