Süre	1. Bölge	2. Bölge	3. Bölge	Isýnma	Soðutma 
(Sn)	(ºC)		(ºC)		(ºC)		(ºC)	(ºC)
       	Mavi		Kýrmýzý		Yeþil		Turuncu	Sarý
257	25		25		25		29	17
258	25		25		25		29	17
259	25		25		25		29	17
260	25		25		25		29	17
261	25		25		25		29	17
262	25		25		25		29	17
263	25		25		25		29	17
264	25		25		25		29	17
265	25		25		25		29	17
266	25		25		25		29	17
267	25		25		25		29	17
268	25		25		25		29	16
269	25		25		25		29	17
270	25		25		25		29	17
271	25		25		25		29	17
272	25		25		25		29	17
273	25		25		25		29	17
274	25		25		25		29	17
275	25		25		25		29	17
276	25		25		25		29	17
277	25		25		25		29	17
278	25		25		25		29	17
279	25		25		25		29	17
280	25		25		25		29	17
281	25		25		25		29	17
282	25		25		25		29	17
283	25		26		25		29	17
284	25		26		25		29	17
285	25		26		25		29	17
286	25		26		25		29	17
287	25		26		25		29	17
288	25		26		25		29	17
289	25		26		25		29	17
290	25		26		25		29	17
291	25		26		25		29	17
292	25		26		25		29	17
293	25		26		25		29	17
294	25		26		25		29	17
295	25		26		25		29	17
296	25		26		25		29	17
297	25		26		25		29	17
298	25		26		25		29	17
299	25		26		25		29	17
300	25		26		25		29	17
301	25		26		25		29	17
302	25		26		25		29	17
303	25		26		25		29	17
304	25		26		25		29	17
305	25		26		26		29	17
306	25		26		26		29	17
307	25		26		26		30	17
308	25		26		26		30	17
309	26		26		26		30	17
310	26		26		26		30	17
311	26		26		26		30	17
312	26		26		26		30	17
313	26		26		26		30	17
314	26		26		26		30	17
315	26		26		26		30	17
316	26		26		26		30	17
317	26		26		26		30	17
318	26		26		26		30	17
319	26		26		26		30	17
320	26		26		26		30	17
321	26		26		26		30	17
322	26		26		26		30	17
323	26		26		26		30	17
324	26		26		26		30	17
325	26		26		26		30	17
326	26		26		26		30	17
327	26		26		26		30	17
328	26		26		26		30	17
329	26		26		26		30	17
330	26		26		26		30	17
331	26		26		26		30	17
332	26		26		26		30	17
333	26		26		26		30	17
334	26		26		26		30	17
335	26		26		26		30	17
336	26		26		26		30	17
337	26		26		26		30	17
338	26		26		26		30	17
339	26		26		26		30	17
340	26		26		26		30	17
341	26		26		26		30	17
342	26		26		26		30	17
343	26		26		26		30	17
344	26		26		26		30	17
345	26		26		26		30	17
346	26		26		26		30	17
347	26		26		26		30	17
348	26		26		26		30	17
349	26		26		26		30	17
350	26		26		26		30	17
351	26		26		26		30	17
352	26		26		26		30	17
353	26		26		26		30	17
354	26		26		26		30	17
355	26		26		26		30	17
356	26		26		26		30	17
357	26		26		26		30	17
358	26		26		26		30	17
359	26		26		26		30	17
360	26		26		26		30	17
361	26		26		26		30	17
362	26		26		26		30	17
363	26		26		26		30	17
364	26		26		26		30	17
365	26		26		26		31	17
366	26		26		26		31	17
367	26		26		26		31	17
368	26		26		26		31	17
369	26		26		26		31	17
370	26		26		26		31	17
371	26		26		26		31	17
372	26		26		26		31	17
373	26		26		26		31	17
374	26		26		26		31	17
375	26		26		26		31	17
376	26		26		26		31	17
377	26		26		26		31	17
378	26		26		26		31	17
379	26		26		26		31	17
380	27		26		26		31	17
381	27		26		26		31	17
382	27		26		26		31	17
383	27		26		26		31	17
384	27		26		26		31	17
385	27		26		26		31	17
386	27		26		26		31	17
387	27		26		26		31	17
388	27		26		26		31	17
389	27		26		26		31	17
390	27		26		26		31	17
391	27		26		26		31	17
392	27		26		26		31	17
393	27		26		26		31	17
394	27		26		26		31	17
395	27		26		26		31	17
396	27		26		26		31	17
397	27		26		26		31	17
398	27		26		26		31	17
399	27		26		26		31	17
400	27		26		26		31	17
401	27		26		26		31	17
402	27		26		26		31	17
403	27		26		26		31	17
404	27		26		26		31	17
405	27		26		26		31	17
406	27		26		26		31	17
407	27		26		26		31	17
408	27		26		26		31	17
409	27		26		26		31	17
410	27		26		26		31	17
411	27		26		27		31	17
412	27		26		27		31	17
413	27		26		27		31	17
414	27		26		27		31	17
415	27		26		27		31	17
416	27		26		27		31	17
417	27		26		27		31	17
418	27		26		27		31	17
419	27		26		27		31	17
420	27		26		27		31	17
421	27		26		27		31	17
422	27		26		27		31	17
423	27		26		27		32	17
424	27		26		27		32	17
425	27		26		27		32	17
426	27		26		27		32	17
427	27		26		27		32	17
428	27		26		27		32	17
429	27		26		27		32	17
430	27		26		27		32	17
431	27		26		27		32	17
432	27		26		27		32	17
433	27		26		27		32	17
434	27		26		27		32	17
435	27		26		27		32	17
436	27		26		27		32	17
437	27		26		27		32	17
438	27		26		27		32	17
439	27		26		27		32	17
440	27		26		27		32	17
441	27		26		27		32	17
442	27		26		27		32	17
443	27		26		27		32	17
444	28		26		27		32	17
445	28		26		27		32	17
446	28		27		27		32	17
447	28		27		27		32	17
448	28		27		27		32	17
449	28		27		27		33	17
450	28		27		27		33	17
451	28		27		27		33	17
452	28		27		27		33	17
453	28		27		27		33	17
454	28		27		27		33	17
455	28		27		27		33	17
456	28		27		27		33	17
457	28		27		27		33	17
458	28		27		27		33	17
459	28		27		27		33	17
460	28		27		27		33	17
461	28		27		27		33	17
462	28		27		27		33	17
463	28		27		27		33	17
464	28		27		28		33	17
465	28		27		28		33	17
466	28		27		28		33	17
467	28		27		28		33	17
468	28		27		28		33	17
469	28		27		28		33	17
470	28		27		28		33	17
471	28		27		28		34	17
472	28		27		28		34	17
473	29		27		28		34	17
474	29		27		28		34	17
475	29		27		28		34	17
476	29		27		28		34	17
477	29		27		28		34	17
478	29		27		28		34	17
479	29		27		28		34	17
480	29		27		28		34	17
481	29		27		28		34	17
482	29		27		28		34	17
483	29		27		28		34	17
484	29		27		28		34	17
485	29		27		28		34	17
486	29		27		28		35	17
487	29		27		28		35	17
488	29		27		28		35	17
489	29		27		28		35	17
490	29		27		28		35	17
491	29		27		28		35	17
492	29		27		28		35	17
493	29		27		28		35	17
494	29		27		28		35	17
495	30		27		28		35	17
496	30		27		28		35	17
497	30		28		29		35	17
498	30		28		29		35	17
499	30		28		29		36	17
500	30		28		29		36	17
501	30		28		29		36	17
502	30		28		29		36	17
503	30		28		29		36	17
504	30		28		29		36	17
505	30		28		29		36	17
506	30		28		29		36	17
507	30		28		29		36	17
508	30		28		29		36	17
509	30		28		29		36	17
510	30		28		29		36	17
511	30		28		29		36	17
512	30		28		29		37	17
513	30		28		29		37	17
514	30		28		29		37	17
